batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,normalize,name,history,best_model_path,batch_norm
256,60,3,0.5,classification,7,"[32, 64, 128]",3,relu,[128],softmax,True,baseline_7_classes_dense,"{'loss': [1.8902344703674316, 1.8557984828948975, 1.8284920454025269, 1.7965275049209595, 1.7757542133331299, 1.7641302347183228, 1.7520822286605835, 1.75273859500885, 1.7441855669021606, 1.7321141958236694, 1.7247002124786377, 1.7165865898132324, 1.7020519971847534, 1.7047842741012573, 1.683748722076416, 1.681476354598999, 1.6665288209915161, 1.6687380075454712, 1.654175043106079, 1.6559823751449585, 1.657870888710022, 1.6372597217559814, 1.6298718452453613, 1.620465874671936, 1.6121695041656494, 1.6015098094940186, 1.5913784503936768, 1.5830069780349731, 1.580945611000061, 1.5817437171936035, 1.5965986251831055, 1.5904653072357178, 1.561262845993042, 1.5435056686401367, 1.5259084701538086, 1.5348535776138306, 1.5131574869155884, 1.4900801181793213, 1.479942798614502, 1.4948068857192993, 1.4938054084777832, 1.484141230583191, 1.4634082317352295, 1.4739751815795898, 1.444264531135559, 1.4467926025390625, 1.4358536005020142, 1.4737147092819214, 1.4374171495437622, 1.4265010356903076, 1.4478400945663452, 1.4416956901550293, 1.4269405603408813, 1.4298473596572876, 1.4094586372375488, 1.40230393409729, 1.3965808153152466, 1.3699744939804077, 1.372473955154419, 1.3704081773757935], 'accuracy': [0.21401624381542206, 0.254643052816391, 0.2759721279144287, 0.30789321660995483, 0.32675567269325256, 0.3302379548549652, 0.3432965874671936, 0.33560648560523987, 0.3431514799594879, 0.34489262104034424, 0.3473592698574066, 0.3524376153945923, 0.3585316240787506, 0.35940220952033997, 0.36622169613838196, 0.365641325712204, 0.37042948603630066, 0.375362753868103, 0.3742019832134247, 0.37289610505104065, 0.37492746114730835, 0.3875507712364197, 0.3892919421195984, 0.38972723484039307, 0.39451536536216736, 0.3955310583114624, 0.3998839259147644, 0.4071387052536011, 0.4036564230918884, 0.40307602286338806, 0.39872315526008606, 0.4042367935180664, 0.4090249538421631, 0.41816598176956177, 0.41816598176956177, 0.41410329937934875, 0.42324432730674744, 0.43093442916870117, 0.43601277470588684, 0.43136969208717346, 0.4277423024177551, 0.43847939372062683, 0.44689494371414185, 0.4376088082790375, 0.4460243880748749, 0.44718512892723083, 0.4495066702365875, 0.43383634090423584, 0.4479106068611145, 0.45356935262680054, 0.44907137751579285, 0.45110273361206055, 0.4561810791492462, 0.45734184980392456, 0.46169471740722656, 0.4627103805541992, 0.4679338335990906, 0.4744631350040436, 0.46865931153297424, 0.47518861293792725], 'val_loss': [1.846065878868103, 1.828567624092102, 1.794073462486267, 1.7674692869186401, 1.7440680265426636, 1.73880136013031, 1.734742522239685, 1.7431048154830933, 1.7301127910614014, 1.7110998630523682, 1.7061742544174194, 1.688024640083313, 1.6933164596557617, 1.6631931066513062, 1.6603013277053833, 1.64890456199646, 1.6356061697006226, 1.6532782316207886, 1.6118769645690918, 1.6251564025878906, 1.628994345664978, 1.620418667793274, 1.5896190404891968, 1.587210774421692, 1.578336238861084, 1.5920627117156982, 1.5412204265594482, 1.5244613885879517, 1.527469515800476, 1.5268059968948364, 1.5957642793655396, 1.5305581092834473, 1.5055274963378906, 1.5117806196212769, 1.4720642566680908, 1.4954209327697754, 1.446955680847168, 1.4420465230941772, 1.4842342138290405, 1.4689496755599976, 1.4788726568222046, 1.4234886169433594, 1.4264615774154663, 1.4441781044006348, 1.4250059127807617, 1.4007586240768433, 1.5171146392822266, 1.4849896430969238, 1.3897714614868164, 1.4281996488571167, 1.4142141342163086, 1.3905670642852783, 1.4027929306030273, 1.40419340133667, 1.3901658058166504, 1.3846244812011719, 1.4051624536514282, 1.3549091815948486, 1.3713569641113281, 1.3648334741592407], 'val_accuracy': [0.28380730748176575, 0.2872896194458008, 0.3134068548679352, 0.3348810076713562, 0.33836331963539124, 0.3435867726802826, 0.3435867726802826, 0.3435867726802826, 0.34474754333496094, 0.35345327854156494, 0.3546140491962433, 0.3569355905056, 0.360998272895813, 0.37318629026412964, 0.36390018463134766, 0.37376669049263, 0.377829372882843, 0.37086477875709534, 0.38363319635391235, 0.374347060918808, 0.378409743309021, 0.3766686022281647, 0.38827624917030334, 0.3894370198249817, 0.3888566493988037, 0.3830528259277344, 0.4045269787311554, 0.41613465547561646, 0.4114915728569031, 0.41439351439476013, 0.3830528259277344, 0.4155542552471161, 0.4190365672111511, 0.40336620807647705, 0.4329657554626465, 0.42948347330093384, 0.4387695789337158, 0.44225189089775085, 0.4109112024307251, 0.44457343220710754, 0.4329657554626465, 0.44631457328796387, 0.4503772556781769, 0.4364480674266815, 0.4393499791622162, 0.46024376153945923, 0.4091700613498688, 0.42019733786582947, 0.46024376153945923, 0.4526987671852112, 0.45095762610435486, 0.4544399380683899, 0.4648868143558502, 0.45502030849456787, 0.4538595378398895, 0.45502030849456787, 0.44863611459732056, 0.46024376153945923, 0.47069066762924194, 0.4648868143558502]}",saved_models_config_5/baseline_7_classes_dense_best_model.keras,
256,60,3,0.5,classification,7,"[32, 64, 128, 256]",5,relu,"[256, 128]",softmax,True,A3B_relu_k5_improved_7_classes_dense,"{'loss': [1.8996855020523071, 1.8738855123519897, 1.8551217317581177, 1.8531575202941895, 1.8351097106933594, 1.8109509944915771, 1.777348518371582, 1.7039371728897095, 1.6277285814285278, 1.5619664192199707, 1.6151078939437866, 1.4946508407592773, 1.4532384872436523, 1.398313283920288, 1.3491400480270386, 1.3303650617599487, 1.2895801067352295, 1.293655276298523, 1.3424158096313477, 1.2810266017913818, 1.3816457986831665, 1.2978249788284302, 1.2289197444915771, 1.1972365379333496, 1.1327917575836182, 1.1159685850143433, 1.10164213180542, 1.0769479274749756, 1.0718848705291748, 1.0294716358184814, 1.0150340795516968, 0.9884287714958191, 0.9819858074188232, 0.9861608743667603, 0.9460551142692566, 0.9438765645027161, 0.9263247847557068, 0.9189305305480957, 0.902515172958374, 0.8758071064949036, 0.8869282603263855, 0.8581774830818176, 0.8506453037261963, 0.8337869644165039, 0.8158112168312073, 0.8203888535499573, 0.823326826095581, 0.7963723540306091, 0.7768434286117554, 0.7851597666740417, 0.7654244899749756, 0.7631933093070984, 0.7701046466827393, 0.7379719018936157, 0.7343443036079407, 0.7154180407524109, 0.6937822103500366, 0.6874434351921082, 0.6951063871383667, 0.6840686202049255], 'accuracy': [0.20052234828472137, 0.2262042909860611, 0.2479686588048935, 0.2569645941257477, 0.27089378237724304, 0.2932385504245758, 0.33183401823043823, 0.3668020963668823, 0.38116657733917236, 0.3974173069000244, 0.3929193317890167, 0.41874638199806213, 0.4310795068740845, 0.4499419629573822, 0.4654672145843506, 0.4672083556652069, 0.4825884997844696, 0.48389437794685364, 0.45951828360557556, 0.4854904115200043, 0.4567614495754242, 0.48142772912979126, 0.5146546959877014, 0.5252466797828674, 0.5462855696678162, 0.5426581501960754, 0.5445443987846375, 0.5641323328018188, 0.5647127032279968, 0.5800928473472595, 0.5822693109512329, 0.5944573283195496, 0.5993906259536743, 0.5988101959228516, 0.6073708534240723, 0.6088218092918396, 0.6173824667930603, 0.6237666606903076, 0.6207196712493896, 0.6391468644142151, 0.630295991897583, 0.644660472869873, 0.6450957655906677, 0.6580092906951904, 0.6654091477394104, 0.6656993627548218, 0.6629425287246704, 0.6688914895057678, 0.6784678101539612, 0.6703424453735352, 0.6848520040512085, 0.6822403073310852, 0.6857225894927979, 0.6954439878463745, 0.6986361145973206, 0.7047300934791565, 0.7170632481575012, 0.7202553749084473, 0.7096633911132812, 0.7241729497909546], 'val_loss': [1.8530761003494263, 1.862021565437317, 1.8063304424285889, 1.8599133491516113, 1.8136165142059326, 1.7344157695770264, 1.6863820552825928, 1.5686023235321045, 1.489791750907898, 1.4154239892959595, 1.4347318410873413, 1.38119375705719, 1.3200963735580444, 1.335135817527771, 1.2557352781295776, 1.2610507011413574, 1.2404145002365112, 1.2666994333267212, 1.2442896366119385, 1.3145568370819092, 1.3283568620681763, 1.19425630569458, 1.1791948080062866, 1.119096279144287, 1.0783488750457764, 1.090954303741455, 1.0719923973083496, 1.1006745100021362, 1.0358208417892456, 1.014136791229248, 1.0315735340118408, 0.9797928929328918, 1.1130632162094116, 0.9476237297058105, 0.9489333033561707, 0.9410044550895691, 0.9684808254241943, 0.9436877965927124, 0.9268731474876404, 0.935125470161438, 0.939985454082489, 0.9457919001579285, 0.9302686452865601, 0.8748949766159058, 0.9057495594024658, 0.934083878993988, 0.8537753224372864, 0.8829247355461121, 0.9100708961486816, 0.918435275554657, 0.8769633173942566, 0.9189708828926086, 0.8999732732772827, 0.8901507258415222, 0.8678157925605774, 0.8646833300590515, 0.8761131763458252, 0.8490281701087952, 0.9200588464736938, 0.8602076768875122], 'val_accuracy': [0.25943121314048767, 0.22867092490196228, 0.2826465368270874, 0.243760883808136, 0.2867092192173004, 0.36448055505752563, 0.37724897265434265, 0.40742889046669006, 0.4242600202560425, 0.4347068965435028, 0.4323853850364685, 0.4480557143688202, 0.4712710380554199, 0.4735925793647766, 0.495647132396698, 0.5002902150154114, 0.5066744089126587, 0.495647132396698, 0.5055136680603027, 0.482878714799881, 0.46836912631988525, 0.5269877910614014, 0.5391758680343628, 0.5455600619316101, 0.5687754154205322, 0.5560069680213928, 0.5583285093307495, 0.5397562384605408, 0.5734184384346008, 0.5780615210533142, 0.5769007802009583, 0.5821241736412048, 0.5432385206222534, 0.6065002679824829, 0.6006964445114136, 0.604759156703949, 0.5896691679954529, 0.6076610684394836, 0.6059198975563049, 0.6035983562469482, 0.5989553332328796, 0.6117237210273743, 0.6070806980133057, 0.637840986251831, 0.6285548210144043, 0.5989553332328796, 0.6366801857948303, 0.6366801857948303, 0.6262333393096924, 0.6076610684394836, 0.6169471740722656, 0.6059198975563049, 0.6372606158256531, 0.6233314275741577, 0.6419036388397217, 0.6366801857948303, 0.6250725388526917, 0.6372606158256531, 0.639001727104187, 0.6407428979873657]}",saved_models_config_5/A3B_relu_k5_improved_7_classes_dense_best_model.keras,
256,60,3,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,True,B2B_deep_bn_7_classes_dense,"{'loss': [1.8986780643463135, 1.8751167058944702, 1.8739776611328125, 1.8522075414657593, 1.7969709634780884, 1.6953375339508057, 1.6375744342803955, 1.5480979681015015, 1.5012991428375244, 1.4702837467193604, 1.4032323360443115, 1.3501880168914795, 1.3226910829544067, 1.265496015548706, 1.254790186882019, 1.2298476696014404, 1.195806622505188, 1.1542716026306152, 1.1265901327133179, 1.1440445184707642, 1.1160688400268555, 1.076086163520813, 1.0492247343063354, 1.0121920108795166, 0.9834531545639038, 0.9827122092247009, 0.9578465223312378, 0.9227949976921082, 0.9205151796340942, 0.8861409425735474, 0.9675977230072021, 0.8980597257614136, 0.8855118751525879, 0.8543092012405396, 0.8387696743011475, 0.8117614388465881, 0.7796499133110046, 0.7766009569168091, 0.7506928443908691, 0.7445839047431946, 0.7400728464126587, 0.7613808512687683, 0.7301803231239319, 0.6920157074928284, 0.6684885025024414, 0.678843080997467, 0.6514883637428284, 0.6466180682182312, 0.6517465710639954, 0.6529322266578674, 0.6175493597984314, 0.6735786199569702, 0.6596421599388123, 0.6228420734405518, 0.6454946398735046, 0.5935307145118713, 0.6063077449798584, 0.562929630279541, 0.520758330821991, 0.5346863269805908], 'accuracy': [0.2086477130651474, 0.2067614644765854, 0.22040046751499176, 0.2645095884799957, 0.3155832886695862, 0.36593151092529297, 0.38189205527305603, 0.40133488178253174, 0.4129425287246704, 0.4220835864543915, 0.4431224465370178, 0.4611143469810486, 0.47315728664398193, 0.49230992794036865, 0.499709814786911, 0.5059489011764526, 0.5207486748695374, 0.5333720445632935, 0.5449796915054321, 0.5436738133430481, 0.5513638854026794, 0.5626813769340515, 0.5700812339782715, 0.5927162170410156, 0.5982298254966736, 0.6018572449684143, 0.6143354773521423, 0.6255078315734863, 0.6146256327629089, 0.6358096599578857, 0.6095473170280457, 0.6339234113693237, 0.639001727104187, 0.6478525996208191, 0.6559779644012451, 0.6658444404602051, 0.6806442141532898, 0.6755658984184265, 0.6923969984054565, 0.6963145732879639, 0.6910911202430725, 0.6941381096839905, 0.7018281817436218, 0.7161926627159119, 0.7254788279533386, 0.718224048614502, 0.7291061878204346, 0.741294264793396, 0.7376668453216553, 0.7347649335861206, 0.750725507736206, 0.7298316955566406, 0.7362158894538879, 0.746953010559082, 0.7382472157478333, 0.763638973236084, 0.7497097849845886, 0.7723447680473328, 0.7936738133430481, 0.7896111607551575], 'val_loss': [1.8589271306991577, 1.8619911670684814, 1.8572512865066528, 1.832210898399353, 1.7145572900772095, 1.5510977506637573, 1.503043293952942, 1.4681349992752075, 1.3982596397399902, 1.3706567287445068, 1.316466212272644, 1.3024100065231323, 1.286665916442871, 1.2074021100997925, 1.2062530517578125, 1.1779955625534058, 1.1479318141937256, 1.1171154975891113, 1.0850048065185547, 1.110546350479126, 1.0945637226104736, 1.0738239288330078, 1.05878746509552, 1.0528700351715088, 1.0089408159255981, 1.055384874343872, 0.9783269166946411, 0.9632356762886047, 1.0397639274597168, 0.9969918131828308, 0.9785953164100647, 0.988902747631073, 0.9485489130020142, 0.9251586198806763, 0.9678811430931091, 0.9245569109916687, 0.9078624248504639, 0.9017953276634216, 0.9422399997711182, 0.9134546518325806, 0.9445542097091675, 0.934461772441864, 0.9041134715080261, 0.9422873258590698, 0.9668694138526917, 0.9113466739654541, 0.9499505758285522, 1.0066028833389282, 0.9796654582023621, 0.960480809211731, 1.0616616010665894, 0.9619103074073792, 1.0130090713500977, 1.1710470914840698, 1.0137933492660522, 1.0758020877838135, 0.9565350413322449, 0.9946203231811523, 1.0444386005401611, 1.023305058479309], 'val_accuracy': [0.21009866893291473, 0.22925131022930145, 0.2843877077102661, 0.2826465368270874, 0.37957051396369934, 0.41671502590179443, 0.4190365672111511, 0.4265815317630768, 0.4439930319786072, 0.4480557143688202, 0.46836912631988525, 0.45734184980392456, 0.4764944911003113, 0.5084155797958374, 0.5084155797958374, 0.5235055088996887, 0.5385954976081848, 0.5397562384605408, 0.5536854267120361, 0.5409169793128967, 0.5519442558288574, 0.5641323328018188, 0.5687754154205322, 0.5728380680084229, 0.5832849740982056, 0.5507835149765015, 0.596633791923523, 0.5977945327758789, 0.5838653445243835, 0.5821241736412048, 0.6006964445114136, 0.5867672562599182, 0.6152060627937317, 0.605339527130127, 0.6012768149375916, 0.6285548210144043, 0.621009886264801, 0.6279744505882263, 0.6163668036460876, 0.6192687153816223, 0.6082414388656616, 0.6117237210273743, 0.6372606158256531, 0.6349390745162964, 0.621009886264801, 0.6419036388397217, 0.6326175332069397, 0.6059198975563049, 0.6192687153816223, 0.630295991897583, 0.6030179858207703, 0.6262333393096924, 0.622750997543335, 0.5995357036590576, 0.6262333393096924, 0.6152060627937317, 0.629715621471405, 0.6233314275741577, 0.6349390745162964, 0.6186883449554443]}",saved_models_config_5/B2B_deep_bn_7_classes_dense_best_model.keras,True
256,60,3,0.5,classification,7,"[32, 64, 128]",7,relu,"[128, 64]",softmax,True,A4B_relu_k7_7_classes_dense,"{'loss': [1.9072600603103638, 1.886075735092163, 1.8796252012252808, 1.875706672668457, 1.8663610219955444, 1.8611209392547607, 1.861024022102356, 1.8421565294265747, 1.8210841417312622, 1.8030474185943604, 1.767659306526184, 1.7307714223861694, 1.7008051872253418, 1.6873592138290405, 1.6844186782836914, 1.6406514644622803, 1.5898175239562988, 1.584477424621582, 1.5850348472595215, 1.5792666673660278, 1.5992445945739746, 1.552429437637329, 1.5363134145736694, 1.5112303495407104, 1.472937822341919, 1.4431467056274414, 1.4228909015655518, 1.407712459564209, 1.3856703042984009, 1.3965901136398315, 1.4102609157562256, 1.3496098518371582, 1.3312642574310303, 1.3071708679199219, 1.3023064136505127, 1.3049652576446533, 1.2846174240112305, 1.2721065282821655, 1.27323317527771, 1.256406545639038, 1.2402942180633545, 1.2303019762039185, 1.209040880203247, 1.2284750938415527, 1.2058449983596802, 1.1878607273101807, 1.1662722826004028, 1.1579607725143433, 1.1648317575454712, 1.1422288417816162, 1.1215810775756836, 1.126488447189331, 1.1020011901855469, 1.103843331336975, 1.0755358934402466, 1.09263014793396, 1.0819714069366455, 1.0672768354415894, 1.0614339113235474, 1.0497095584869385], 'accuracy': [0.19413812458515167, 0.21575739979743958, 0.2130005806684494, 0.22562390565872192, 0.24738827347755432, 0.260591983795166, 0.25769007205963135, 0.28177598118782043, 0.3048461973667145, 0.3167440593242645, 0.3370574712753296, 0.3479396402835846, 0.36215901374816895, 0.365641325712204, 0.36593151092529297, 0.384648859500885, 0.3910330832004547, 0.3952408730983734, 0.3979976773262024, 0.3934997022151947, 0.39698201417922974, 0.3995937407016754, 0.4106210172176361, 0.4151189923286438, 0.42716193199157715, 0.43586766719818115, 0.4412362277507782, 0.44907137751579285, 0.45777714252471924, 0.4567614495754242, 0.4516831040382385, 0.4657573997974396, 0.4738827645778656, 0.48128265142440796, 0.48998838663101196, 0.48607081174850464, 0.4930354058742523, 0.4973882734775543, 0.49898433685302734, 0.49506673216819763, 0.5095763206481934, 0.5137841105461121, 0.5121880173683167, 0.513058602809906, 0.5204585194587708, 0.5269877910614014, 0.5301799178123474, 0.5361288189888, 0.5327916145324707, 0.5410621166229248, 0.5471560955047607, 0.5446894764900208, 0.5545560121536255, 0.5510737299919128, 0.5647127032279968, 0.5523795485496521, 0.5663087368011475, 0.5708067417144775, 0.5732733607292175, 0.5784968137741089], 'val_loss': [1.8705297708511353, 1.8602763414382935, 1.8511377573013306, 1.858538269996643, 1.8503978252410889, 1.8721235990524292, 1.8142389059066772, 1.7835216522216797, 1.7572256326675415, 1.731819987297058, 1.7316465377807617, 1.6635472774505615, 1.6648837327957153, 1.6310373544692993, 1.582594871520996, 1.5523916482925415, 1.599934458732605, 1.5021244287490845, 1.5876976251602173, 1.4620145559310913, 1.5164072513580322, 1.4609707593917847, 1.473312497138977, 1.4326372146606445, 1.4094451665878296, 1.3647358417510986, 1.3657747507095337, 1.3380414247512817, 1.3045592308044434, 1.3238708972930908, 1.3406985998153687, 1.2868854999542236, 1.276292324066162, 1.25403892993927, 1.2469947338104248, 1.2836918830871582, 1.2287088632583618, 1.3225643634796143, 1.2941498756408691, 1.2116444110870361, 1.2487125396728516, 1.224083423614502, 1.221561312675476, 1.3309696912765503, 1.1737486124038696, 1.2111878395080566, 1.1806588172912598, 1.2119218111038208, 1.183616042137146, 1.1689982414245605, 1.1294052600860596, 1.200976014137268, 1.113908052444458, 1.1472082138061523, 1.141178846359253, 1.131356120109558, 1.1645115613937378, 1.1049731969833374, 1.1359907388687134, 1.0751140117645264], 'val_accuracy': [0.22925131022930145, 0.23331399261951447, 0.2652350664138794, 0.25246661901474, 0.26175275444984436, 0.21590249240398407, 0.3255949020385742, 0.32037144899368286, 0.33836331963539124, 0.34416714310646057, 0.3482298254966736, 0.374347060918808, 0.3766686022281647, 0.38363319635391235, 0.40568774938583374, 0.4027858376502991, 0.3847939670085907, 0.42251884937286377, 0.3888566493988037, 0.43586766719818115, 0.4213581085205078, 0.4254207909107208, 0.4306442141532898, 0.43818920850753784, 0.4416714906692505, 0.46894949674606323, 0.4648868143558502, 0.4608241319656372, 0.48403945565223694, 0.47707486152648926, 0.4561810791492462, 0.48113754391670227, 0.4973882734775543, 0.503192126750946, 0.4910040497779846, 0.48403945565223694, 0.5153801441192627, 0.47069066762924194, 0.4759140908718109, 0.513058602809906, 0.5020313262939453, 0.5078351497650146, 0.5020313262939453, 0.4759140908718109, 0.5345327854156494, 0.52176433801651, 0.5240858793258667, 0.5258270502090454, 0.5200232267379761, 0.5345327854156494, 0.5356935858726501, 0.5177016854286194, 0.5478816032409668, 0.5443993210792542, 0.5461404323577881, 0.5490423440933228, 0.5449796915054321, 0.5542657971382141, 0.5449796915054321, 0.5670342445373535]}",saved_models_config_5/A4B_relu_k7_7_classes_dense_best_model.keras,
