batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,normalize,name,history,best_model_path,batch_norm
256,60,3,0.5,classification,7,"[32, 64, 128]",3,relu,[128],softmax,True,baseline_7_classes_dense,"{'loss': [1.8888500928878784, 1.8444310426712036, 1.8040963411331177, 1.78569757938385, 1.7661904096603394, 1.7613792419433594, 1.7517071962356567, 1.7442245483398438, 1.7361201047897339, 1.7266639471054077, 1.721030831336975, 1.7111175060272217, 1.702176809310913, 1.6918774843215942, 1.6716331243515015, 1.6688865423202515, 1.6669100522994995, 1.644970178604126, 1.6323508024215698, 1.6271960735321045, 1.614661455154419, 1.5950278043746948, 1.5936930179595947, 1.5792936086654663, 1.5909560918807983, 1.5678415298461914, 1.574692964553833, 1.5754481554031372, 1.5550614595413208, 1.5418373346328735, 1.532091498374939, 1.5154697895050049, 1.5132176876068115, 1.5014421939849854, 1.5083482265472412, 1.5027060508728027, 1.4906878471374512, 1.455379843711853, 1.4753748178482056, 1.474291443824768, 1.4621837139129639, 1.46396803855896, 1.452855110168457, 1.4513851404190063, 1.4176839590072632, 1.425812005996704, 1.4134016036987305, 1.418305516242981, 1.4055914878845215, 1.3823838233947754, 1.3970611095428467, 1.3656902313232422, 1.3835186958312988, 1.3676358461380005, 1.3527132272720337, 1.3520703315734863, 1.3654744625091553, 1.344528317451477, 1.341361403465271, 1.3382967710494995], 'accuracy': [0.21445153653621674, 0.26813697814941406, 0.3062971532344818, 0.31601858139038086, 0.3286418914794922, 0.3322693109512329, 0.33807313442230225, 0.3345908224582672, 0.33995938301086426, 0.34663379192352295, 0.3473592698574066, 0.35084155201911926, 0.35504934191703796, 0.36390018463134766, 0.36854323744773865, 0.3711549639701843, 0.374637246131897, 0.38189205527305603, 0.3850841522216797, 0.38784098625183105, 0.39233893156051636, 0.4024956524372101, 0.3978525698184967, 0.40525245666503906, 0.39915844798088074, 0.4091700613498688, 0.4112013876438141, 0.40728381276130676, 0.40583285689353943, 0.4146836996078491, 0.4219384789466858, 0.4262913465499878, 0.42484039068222046, 0.4287579655647278, 0.4257109761238098, 0.4278874099254608, 0.4306442141532898, 0.4454439878463745, 0.43586766719818115, 0.44051074981689453, 0.44486361742019653, 0.44442832469940186, 0.4418165981769562, 0.44718512892723083, 0.45995357632637024, 0.4609692394733429, 0.4612594246864319, 0.46416133642196655, 0.46604758501052856, 0.4690946042537689, 0.4647417366504669, 0.47518861293792725, 0.4701102674007416, 0.4759140908718109, 0.4786709249019623, 0.48186302185058594, 0.4802669882774353, 0.4782356321811676, 0.48331397771835327, 0.48636099696159363], 'val_loss': [1.8395419120788574, 1.8122875690460205, 1.787247657775879, 1.7430505752563477, 1.7396808862686157, 1.73015558719635, 1.7197781801223755, 1.7260781526565552, 1.711997151374817, 1.7049589157104492, 1.7037298679351807, 1.6797738075256348, 1.6782220602035522, 1.6535362005233765, 1.6455490589141846, 1.647607684135437, 1.6245296001434326, 1.638334035873413, 1.5875753164291382, 1.605849027633667, 1.5739511251449585, 1.5521445274353027, 1.5686568021774292, 1.6079418659210205, 1.559483289718628, 1.5569281578063965, 1.5804816484451294, 1.5221139192581177, 1.5279192924499512, 1.4959523677825928, 1.5054694414138794, 1.4754213094711304, 1.4661720991134644, 1.4679971933364868, 1.5078855752944946, 1.4629791975021362, 1.4446425437927246, 1.5195302963256836, 1.4291894435882568, 1.43959641456604, 1.4617433547973633, 1.4464190006256104, 1.4870048761367798, 1.4130703210830688, 1.399507999420166, 1.4066030979156494, 1.4248117208480835, 1.3879297971725464, 1.3843185901641846, 1.3965266942977905, 1.3634282350540161, 1.3813130855560303, 1.3706014156341553, 1.340222954750061, 1.333505392074585, 1.3690067529678345, 1.358709454536438, 1.3320258855819702, 1.3655931949615479, 1.3318432569503784], 'val_accuracy': [0.29019153118133545, 0.3041207194328308, 0.3151479959487915, 0.3238537311553955, 0.33546140789985657, 0.34010446071624756, 0.34474754333496094, 0.3372025489807129, 0.34242600202560425, 0.3430063724517822, 0.3482298254966736, 0.360998272895813, 0.3604178726673126, 0.3691236078739166, 0.369704008102417, 0.36390018463134766, 0.3853743374347687, 0.37724897265434265, 0.3934997022151947, 0.3929193317890167, 0.3958212435245514, 0.40568774938583374, 0.39640161395072937, 0.374347060918808, 0.40104469656944275, 0.40510737895965576, 0.4022054672241211, 0.41845616698265076, 0.41381311416625977, 0.42716193199157715, 0.43180498480796814, 0.42948347330093384, 0.44225189089775085, 0.4439930319786072, 0.43122461438179016, 0.44863611459732056, 0.45095762610435486, 0.42077770829200745, 0.45095762610435486, 0.4561810791492462, 0.43354612588882446, 0.4451538026332855, 0.43354612588882446, 0.4585026204586029, 0.4648868143558502, 0.4608241319656372, 0.4561810791492462, 0.4677887260913849, 0.46430644392967224, 0.46662798523902893, 0.4741729497909546, 0.46836912631988525, 0.47301217913627625, 0.48113754391670227, 0.48113754391670227, 0.47069066762924194, 0.46662798523902893, 0.4892629086971283, 0.4718514084815979, 0.48345908522605896]}",saved_models_config_6/baseline_7_classes_dense_best_model.keras,
256,60,1,0.5,classification,7,"[32, 64, 128, 256]",5,relu,"[256, 128]",softmax,True,A3B_relu_k5_improved_7_classes_dense,"{'loss': [1.8905339241027832, 1.8768000602722168, 1.8612239360809326, 1.8739718198776245, 1.833491325378418, 1.7696387767791748, 1.7100567817687988, 1.6568946838378906, 1.5846914052963257, 1.5540845394134521, 1.492943286895752, 1.5609722137451172, 1.4621940851211548, 1.4101752042770386, 1.375247836112976, 1.3056918382644653, 1.2786004543304443, 1.273140549659729, 1.2849944829940796, 1.2821252346038818, 1.2412216663360596, 1.2142778635025024, 1.1822426319122314, 1.194293737411499, 1.151532769203186, 1.1307203769683838, 1.1374902725219727, 1.1111875772476196, 1.09088933467865, 1.0864406824111938, 1.0550258159637451, 1.025488018989563, 1.0109703540802002, 1.0121642351150513, 0.9844211935997009, 1.0008748769760132, 0.9947742819786072, 0.9846383333206177, 0.9649670124053955, 0.9406487941741943, 0.9226566553115845, 0.9248901009559631, 0.9073878526687622, 0.8983564376831055, 0.8886644244194031, 0.8866894245147705, 0.8577196598052979, 0.8412938117980957, 0.8499884605407715, 0.8291465640068054, 0.8432166576385498, 0.8353684544563293, 0.7986348271369934, 0.8022929430007935, 0.7762947678565979, 0.7628024816513062, 0.7600665092468262, 0.7665444016456604, 0.7524455785751343, 0.7342761158943176], 'accuracy': [0.2109692394733429, 0.21125942468643188, 0.2366511970758438, 0.22852583229541779, 0.2825014591217041, 0.3147127032279968, 0.35780614614486694, 0.37971562147140503, 0.3934997022151947, 0.3975623846054077, 0.42266395688056946, 0.4023505449295044, 0.4281775951385498, 0.4458792805671692, 0.4603888690471649, 0.47692978382110596, 0.4908589720726013, 0.49289029836654663, 0.49260011315345764, 0.49013349413871765, 0.503192126750946, 0.5190075635910034, 0.5240858793258667, 0.5208938121795654, 0.5349680781364441, 0.5464306473731995, 0.5380150675773621, 0.5473012328147888, 0.5594892501831055, 0.5618107914924622, 0.5702263712882996, 0.5799477696418762, 0.5864771008491516, 0.5822693109512329, 0.596053421497345, 0.5946024656295776, 0.592280924320221, 0.5988101959228516, 0.6060649752616882, 0.6181079745292664, 0.622170627117157, 0.6218804121017456, 0.627249002456665, 0.6301509141921997, 0.6292803287506104, 0.639001727104187, 0.6445153951644897, 0.6520603895187378, 0.6522054672241211, 0.6553975343704224, 0.6506093740463257, 0.6585896611213684, 0.6635228991508484, 0.6619268655776978, 0.6794834733009338, 0.6842716336250305, 0.6855774521827698, 0.6838363409042358, 0.6905107498168945, 0.6902205348014832], 'val_loss': [1.8646695613861084, 1.8531835079193115, 1.88111412525177, 1.822940707206726, 1.7617276906967163, 1.6609182357788086, 1.6133323907852173, 1.631372332572937, 1.4981440305709839, 1.4338995218276978, 1.366917610168457, 1.4404513835906982, 1.323103427886963, 1.325353741645813, 1.2648500204086304, 1.239479660987854, 1.217941164970398, 1.2116655111312866, 1.237714171409607, 1.1990398168563843, 1.191856026649475, 1.1877940893173218, 1.1558411121368408, 1.1286649703979492, 1.1128473281860352, 1.146438479423523, 1.0887705087661743, 1.1015188694000244, 1.0578651428222656, 1.0589529275894165, 1.0027813911437988, 1.0171716213226318, 1.0151886940002441, 1.0106441974639893, 1.015870451927185, 1.0214927196502686, 1.007972240447998, 0.9727621674537659, 0.9465523362159729, 0.9457736611366272, 0.9400267601013184, 0.9507903456687927, 0.8946926593780518, 0.953907310962677, 0.9054998755455017, 0.8917450308799744, 0.8825698494911194, 0.8677380084991455, 0.8903255462646484, 0.9488394260406494, 0.9261837601661682, 0.8639483451843262, 0.8839766383171082, 0.853518545627594, 0.8312305808067322, 0.8332793116569519, 0.8603920340538025, 0.8773672580718994, 0.8569130301475525, 0.8418579697608948], 'val_accuracy': [0.2304120659828186, 0.23447474837303162, 0.21009866893291473, 0.2745211720466614, 0.3168891370296478, 0.37492746114730835, 0.39408010244369507, 0.37318629026412964, 0.43122461438179016, 0.43818920850753784, 0.45966339111328125, 0.4590829908847809, 0.47881603240966797, 0.48345908522605896, 0.5014509558677673, 0.5072547793388367, 0.5200232267379761, 0.5194428563117981, 0.5089959502220154, 0.521183967590332, 0.5409169793128967, 0.5316308736801147, 0.5397562384605408, 0.5496227741241455, 0.5589088797569275, 0.5316308736801147, 0.5623911619186401, 0.5600696206092834, 0.5705165266990662, 0.5751596093177795, 0.5861868858337402, 0.5908299684524536, 0.5925710797309875, 0.5832849740982056, 0.5844457149505615, 0.5809634327888489, 0.5803830623626709, 0.6030179858207703, 0.6099826097488403, 0.604759156703949, 0.6088218092918396, 0.604178786277771, 0.630295991897583, 0.6105629801750183, 0.622170627117157, 0.6250725388526917, 0.629135251045227, 0.6453859806060791, 0.6169471740722656, 0.6076610684394836, 0.6163668036460876, 0.6401625275611877, 0.6279744505882263, 0.6453859806060791, 0.6546720862388611, 0.6517701745033264, 0.638421356678009, 0.6331979036331177, 0.6430644392967224, 0.647127091884613]}",saved_models_config_6/A3B_relu_k5_improved_7_classes_dense_best_model.keras,
256,60,1,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,True,B2B_deep_bn_7_classes_dense,"{'loss': [1.8977378606796265, 1.877805233001709, 1.8724483251571655, 1.866441011428833, 1.8311386108398438, 1.7693908214569092, 1.6946884393692017, 1.6134675741195679, 1.5114390850067139, 1.4656717777252197, 1.4047297239303589, 1.3545498847961426, 1.335290789604187, 1.3056520223617554, 1.2726877927780151, 1.2395540475845337, 1.218875765800476, 1.1790430545806885, 1.1858186721801758, 1.1605497598648071, 1.1272218227386475, 1.0918129682540894, 1.0456533432006836, 1.0279098749160767, 0.9995099306106567, 0.9751307964324951, 1.010949730873108, 1.0057029724121094, 0.9297505617141724, 0.9367565512657166, 0.9067156910896301, 0.8844316005706787, 0.8431538343429565, 0.8513486981391907, 0.8180044293403625, 0.8082320690155029, 0.7885869741439819, 0.7726038098335266, 0.7854529619216919, 0.7796676158905029, 0.7691525220870972, 0.7242772579193115, 0.7048077583312988, 0.7136099934577942, 0.7134603261947632, 0.691423773765564, 0.6662540435791016, 0.6431087255477905, 0.6504061818122864, 0.6312039494514465, 0.6442826390266418, 0.6650815010070801, 0.6335239410400391, 0.6462317109107971, 0.6331027746200562, 0.6145849227905273, 0.6118776202201843, 0.6142387390136719, 0.5805196762084961, 0.5184250473976135], 'accuracy': [0.20734184980392456, 0.21169471740722656, 0.21894951164722443, 0.23984329402446747, 0.2780034840106964, 0.32907718420028687, 0.35940220952033997, 0.375652939081192, 0.4043819010257721, 0.4277423024177551, 0.44442832469940186, 0.46387115120887756, 0.4656122922897339, 0.48128265142440796, 0.48621588945388794, 0.5029019117355347, 0.510011613368988, 0.5268427133560181, 0.5245211720466614, 0.524956464767456, 0.5351131558418274, 0.5557167530059814, 0.5683401226997375, 0.5790771842002869, 0.5867672562599182, 0.596053421497345, 0.5843006372451782, 0.5819790959358215, 0.6144805550575256, 0.6127393841743469, 0.624056875705719, 0.643354594707489, 0.6484329700469971, 0.6520603895187378, 0.6664248108863831, 0.6642484068870544, 0.6768717169761658, 0.6820951700210571, 0.6728090643882751, 0.6836912631988525, 0.6780325174331665, 0.7005223631858826, 0.7103888392448425, 0.7069065570831299, 0.7086477279663086, 0.7185142040252686, 0.7259141206741333, 0.739408016204834, 0.7309924364089966, 0.7415844202041626, 0.7362158894538879, 0.7292513251304626, 0.7340394854545593, 0.7404236793518066, 0.7401334643363953, 0.7560940384864807, 0.753046989440918, 0.74753338098526, 0.7695879340171814, 0.7946894764900208], 'val_loss': [1.8575979471206665, 1.8630967140197754, 1.862144112586975, 1.813187599182129, 1.7538989782333374, 1.647935152053833, 1.5995874404907227, 1.4622033834457397, 1.3873341083526611, 1.3403034210205078, 1.3212394714355469, 1.2595099210739136, 1.290819764137268, 1.2470871210098267, 1.1913402080535889, 1.1795810461044312, 1.1605582237243652, 1.152329683303833, 1.164465308189392, 1.105233073234558, 1.0781275033950806, 1.0495070219039917, 1.0286831855773926, 1.0484991073608398, 0.996746301651001, 1.0084304809570312, 1.0649021863937378, 0.9742153882980347, 0.9666951298713684, 0.9436328411102295, 0.9597964286804199, 0.934668242931366, 0.9231078624725342, 0.9227350354194641, 0.8986161351203918, 0.8928773403167725, 0.9320656657218933, 0.8752973675727844, 0.9483057856559753, 0.9064677357673645, 0.9231887459754944, 0.9052256941795349, 0.9006264805793762, 0.8632749319076538, 0.9098979234695435, 0.9343068599700928, 0.8964494466781616, 0.9460163712501526, 0.9414817690849304, 0.9645756483078003, 1.0308433771133423, 0.8854065537452698, 1.008065104484558, 0.9139794111251831, 0.88705974817276, 0.9753836393356323, 0.9540330767631531, 0.972639262676239, 0.9368646144866943, 1.0776880979537964], 'val_accuracy': [0.22925131022930145, 0.255948930978775, 0.21009866893291473, 0.29889726638793945, 0.33778294920921326, 0.37550783157348633, 0.4091700613498688, 0.42019733786582947, 0.4521183967590332, 0.46604758501052856, 0.47069066762924194, 0.49912941455841064, 0.4695298969745636, 0.5107370615005493, 0.529889702796936, 0.5333720445632935, 0.5490423440933228, 0.5258270502090454, 0.5397562384605408, 0.5478816032409668, 0.5716773271560669, 0.5699361562728882, 0.5716773271560669, 0.5798026919364929, 0.5919907093048096, 0.6001160740852356, 0.5560069680213928, 0.605339527130127, 0.5954729914665222, 0.6169471740722656, 0.6018572449684143, 0.605339527130127, 0.622170627117157, 0.622170627117157, 0.6349390745162964, 0.6355194449424744, 0.6233314275741577, 0.639582097530365, 0.6169471740722656, 0.6419036388397217, 0.6192687153816223, 0.6424840688705444, 0.638421356678009, 0.6488682627677917, 0.6355194449424744, 0.6262333393096924, 0.647127091884613, 0.6326175332069397, 0.6273940801620483, 0.629715621471405, 0.6099826097488403, 0.6407428979873657, 0.6157864332199097, 0.6430644392967224, 0.6546720862388611, 0.6360998153686523, 0.6355194449424744, 0.6326175332069397, 0.6482878923416138, 0.6506093740463257]}",saved_models_config_6/B2B_deep_bn_7_classes_dense_best_model.keras,True
256,60,1,0.5,classification,7,"[32, 64, 128]",7,relu,"[128, 64]",softmax,True,A4B_relu_k7_7_classes_dense,"{'loss': [1.9050613641738892, 1.886366367340088, 1.8762801885604858, 1.8695123195648193, 1.870833158493042, 1.8445321321487427, 1.808225154876709, 1.7958893775939941, 1.7453733682632446, 1.7773784399032593, 1.7257113456726074, 1.6850231885910034, 1.654536485671997, 1.637902855873108, 1.6220937967300415, 1.5986801385879517, 1.5851657390594482, 1.5642704963684082, 1.5343621969223022, 1.5085127353668213, 1.4658985137939453, 1.4576563835144043, 1.4759970903396606, 1.4333536624908447, 1.4005300998687744, 1.4046945571899414, 1.373673439025879, 1.3746740818023682, 1.3862087726593018, 1.4461277723312378, 1.3824375867843628, 1.3444386720657349, 1.3223590850830078, 1.3055120706558228, 1.2895323038101196, 1.2999231815338135, 1.2864243984222412, 1.2979375123977661, 1.296596884727478, 1.2671087980270386, 1.2529290914535522, 1.238435983657837, 1.2682932615280151, 1.217754602432251, 1.2049174308776855, 1.2079808712005615, 1.1988978385925293, 1.193967580795288, 1.1630877256393433, 1.182133674621582, 1.1482291221618652, 1.1460504531860352, 1.1434035301208496, 1.1205474138259888, 1.1060035228729248, 1.1356477737426758, 1.1166634559631348, 1.1054060459136963, 1.1139012575149536, 1.088478922843933], 'accuracy': [0.1957341879606247, 0.2109692394733429, 0.21894951164722443, 0.23200812935829163, 0.2414393573999405, 0.2890307605266571, 0.3148578107357025, 0.3282066285610199, 0.3501160740852356, 0.32719093561172485, 0.34924548864364624, 0.37318629026412964, 0.37449216842651367, 0.37710389494895935, 0.3892919421195984, 0.3982878625392914, 0.40133488178253174, 0.40554267168045044, 0.40597793459892273, 0.4168601334095001, 0.4235345423221588, 0.4280324876308441, 0.4283227026462555, 0.44036564230918884, 0.4451538026332855, 0.4412362277507782, 0.4606790542602539, 0.45763203501701355, 0.4541497528553009, 0.4376088082790375, 0.45487523078918457, 0.46836912631988525, 0.4830237925052643, 0.48186302185058594, 0.489408016204834, 0.48113754391670227, 0.49056878685951233, 0.4841845631599426, 0.4873766601085663, 0.5036274194717407, 0.5021764636039734, 0.5066744089126587, 0.49492165446281433, 0.508705735206604, 0.5188624262809753, 0.5137841105461121, 0.5266976356506348, 0.5216192603111267, 0.5307602882385254, 0.5213291049003601, 0.5445443987846375, 0.5372896194458008, 0.5388856530189514, 0.5517991781234741, 0.5519442558288574, 0.5432385206222534, 0.5488972663879395, 0.5571677088737488, 0.5578932166099548, 0.5573128461837769], 'val_loss': [1.8673393726348877, 1.8625909090042114, 1.8501999378204346, 1.8378806114196777, 1.8431782722473145, 1.775952696800232, 1.7547837495803833, 1.7213828563690186, 1.8409924507141113, 1.6931535005569458, 1.6338331699371338, 1.6010910272598267, 1.5890648365020752, 1.53817617893219, 1.508894920349121, 1.500006914138794, 1.4864941835403442, 1.4447987079620361, 1.4353454113006592, 1.4039503335952759, 1.3853657245635986, 1.3571988344192505, 1.3709343671798706, 1.3422000408172607, 1.3408533334732056, 1.3284436464309692, 1.293681025505066, 1.3040168285369873, 1.5401371717453003, 1.3754359483718872, 1.2965794801712036, 1.2650389671325684, 1.2519224882125854, 1.238913655281067, 1.2409969568252563, 1.2895309925079346, 1.2344298362731934, 1.346064567565918, 1.2185853719711304, 1.2268414497375488, 1.1800243854522705, 1.2051730155944824, 1.1841500997543335, 1.1608918905258179, 1.1558310985565186, 1.176353931427002, 1.141545295715332, 1.1176910400390625, 1.1698074340820312, 1.1793334484100342, 1.0944312810897827, 1.1168071031570435, 1.0927841663360596, 1.0845361948013306, 1.0665370225906372, 1.1208674907684326, 1.0669339895248413, 1.0654937028884888, 1.077868938446045, 1.059794306755066], 'val_accuracy': [0.22925131022930145, 0.22925131022930145, 0.22925131022930145, 0.256529301404953, 0.31863030791282654, 0.3302379548549652, 0.35287290811538696, 0.35751596093177795, 0.24666279554367065, 0.365641325712204, 0.3853743374347687, 0.3952408730983734, 0.41439351439476013, 0.4196169376373291, 0.4260011613368988, 0.42948347330093384, 0.4300638437271118, 0.4439930319786072, 0.44921648502349854, 0.4544399380683899, 0.46024376153945923, 0.4677887260913849, 0.4631456732749939, 0.47939640283584595, 0.47939640283584595, 0.49042367935180664, 0.503772497177124, 0.49042367935180664, 0.3760882318019867, 0.4718514084815979, 0.49912941455841064, 0.499709814786911, 0.5101566910743713, 0.5194428563117981, 0.5177016854286194, 0.47475335001945496, 0.5316308736801147, 0.4695298969745636, 0.5153801441192627, 0.5200232267379761, 0.5322112441062927, 0.5165409445762634, 0.5252466797828674, 0.5293093323707581, 0.5519442558288574, 0.5310505032539368, 0.5362739562988281, 0.5560069680213928, 0.5240858793258667, 0.529889702796936, 0.5606500506401062, 0.5385954976081848, 0.5571677088737488, 0.5705165266990662, 0.5664538741111755, 0.5496227741241455, 0.5647127032279968, 0.5635519623756409, 0.5693557858467102, 0.5629715323448181]}",saved_models_config_6/A4B_relu_k7_7_classes_dense_best_model.keras,
