batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,normalize,aug_data,name,history,best_model_path,batch_norm
256,60,1,0.5,classification,7,"[32, 64, 128]",3,relu,[128],softmax,True,True,baseline_7_classes_aug_gray,"{'loss': [1.828287124633789, 1.7786883115768433, 1.757460594177246, 1.7355083227157593, 1.69822359085083, 1.657627820968628, 1.630869746208191, 1.598520040512085, 1.5718135833740234, 1.549638271331787, 1.530357837677002, 1.5076048374176025, 1.4953956604003906, 1.4816228151321411, 1.463949203491211, 1.451192855834961, 1.4408479928970337, 1.4237545728683472, 1.4168635606765747, 1.4079641103744507, 1.3871186971664429, 1.3879362344741821, 1.3598462343215942, 1.3633456230163574, 1.343344807624817, 1.3477048873901367, 1.3286104202270508, 1.3212758302688599, 1.3234771490097046, 1.305090308189392, 1.2963597774505615, 1.2829221487045288, 1.2719182968139648, 1.268578290939331, 1.267699122428894, 1.2548797130584717, 1.2450075149536133, 1.2361887693405151, 1.2320446968078613, 1.2208424806594849, 1.2172385454177856, 1.2053128480911255, 1.2065436840057373, 1.1942375898361206, 1.1830902099609375, 1.1763311624526978, 1.1775012016296387, 1.1623440980911255, 1.155137300491333, 1.1583114862442017, 1.1483867168426514, 1.1454533338546753, 1.1343741416931152, 1.1443476676940918, 1.1337394714355469, 1.1249126195907593, 1.1209245920181274, 1.1202948093414307, 1.114348292350769, 1.1134921312332153], 'accuracy': [0.27197393774986267, 0.3147449493408203, 0.3284645676612854, 0.33844393491744995, 0.35522666573524475, 0.3700748085975647, 0.3812471926212311, 0.39274197816848755, 0.40215709805488586, 0.40875089168548584, 0.41565099358558655, 0.4245340824127197, 0.4275166094303131, 0.43136969208717346, 0.4379957318305969, 0.44217127561569214, 0.4448152482509613, 0.45173147320747375, 0.4553588628768921, 0.4580673277378082, 0.4670954942703247, 0.46567678451538086, 0.47383439540863037, 0.4740600883960724, 0.48039594292640686, 0.47810664772987366, 0.4868285357952118, 0.4864254891872406, 0.48611918091773987, 0.491810142993927, 0.49459922313690186, 0.4992906451225281, 0.5048526525497437, 0.5072870254516602, 0.504352867603302, 0.5086734890937805, 0.5128973722457886, 0.5134778022766113, 0.5180241465568542, 0.5220545530319214, 0.5191526412963867, 0.5259076356887817, 0.5266653895378113, 0.5281646847724915, 0.533210813999176, 0.5345489382743835, 0.5348552465438843, 0.5394015312194824, 0.5413845181465149, 0.5396272540092468, 0.5420616269111633, 0.543996274471283, 0.5480750799179077, 0.5433352589607239, 0.5465596318244934, 0.5506706833839417, 0.5518475770950317, 0.551476776599884, 0.5533952116966248, 0.5537821650505066], 'val_loss': [1.7737900018692017, 1.755944013595581, 1.742726445198059, 1.6987980604171753, 1.6567736864089966, 1.6067217588424683, 1.6145930290222168, 1.56371009349823, 1.5259642601013184, 1.525875210762024, 1.504076600074768, 1.4892244338989258, 1.6306439638137817, 1.4374994039535522, 1.564162254333496, 1.614270567893982, 1.4546741247177124, 1.7202728986740112, 1.451263427734375, 1.366302490234375, 1.6487752199172974, 1.3886488676071167, 1.376672387123108, 1.3290408849716187, 1.3720307350158691, 1.4371124505996704, 1.2992826700210571, 1.375990390777588, 1.2831971645355225, 1.2805922031402588, 1.239090919494629, 1.2257217168807983, 1.2525681257247925, 1.2322192192077637, 1.2261672019958496, 1.2324119806289673, 1.2351559400558472, 1.2625823020935059, 1.2369446754455566, 1.2517045736312866, 1.1889172792434692, 1.2504382133483887, 1.1926300525665283, 1.2252153158187866, 1.1829131841659546, 1.1686100959777832, 1.2002456188201904, 1.1385436058044434, 1.1892679929733276, 1.1056287288665771, 1.1430144309997559, 1.1026897430419922, 1.1334067583084106, 1.134153962135315, 1.1389744281768799, 1.0873429775238037, 1.156477689743042, 1.0786716938018799, 1.098181962966919, 1.1100280284881592], 'val_accuracy': [0.3125886619091034, 0.3205210864543915, 0.33019477128982544, 0.3567006289958954, 0.3717270791530609, 0.38843029737472534, 0.38726943731307983, 0.4055849313735962, 0.42074036598205566, 0.4153231084346771, 0.4297046363353729, 0.4278343915939331, 0.3588288426399231, 0.44763317704200745, 0.38668903708457947, 0.3657938838005066, 0.44311878085136414, 0.3249709904193878, 0.4362182319164276, 0.4724622666835785, 0.3492841422557831, 0.4628531038761139, 0.46988263726234436, 0.4873597323894501, 0.4671739935874939, 0.4400877058506012, 0.4949696958065033, 0.46730297803878784, 0.49916160106658936, 0.5030955672264099, 0.5176060795783997, 0.5217335224151611, 0.505739688873291, 0.5187024474143982, 0.5140590667724609, 0.5064491033554077, 0.5136076211929321, 0.50522381067276, 0.5094156861305237, 0.5050303339958191, 0.5286985635757446, 0.5092867016792297, 0.5246356129646301, 0.5177995562553406, 0.5316006541252136, 0.5371469259262085, 0.5242486596107483, 0.5467560887336731, 0.530052900314331, 0.5561073422431946, 0.5401135087013245, 0.5584934949874878, 0.5456597208976746, 0.5481104254722595, 0.5451438426971436, 0.5635882616043091, 0.5404359698295593, 0.5650715827941895, 0.5585579872131348, 0.5564297437667847]}",saved_models_config_8/baseline_7_classes_aug_gray_best_model.keras,
256,60,1,0.5,classification,7,"[32, 64, 128, 256]",5,relu,"[256, 128]",softmax,True,True,A3B_relu_k5_improved_7_classes_dense_aug_gray,"{'loss': [1.8191879987716675, 1.5702996253967285, 1.349533200263977, 1.238763689994812, 1.1848176717758179, 1.0894575119018555, 1.0147924423217773, 0.9538984298706055, 0.9170559644699097, 0.8659606575965881, 0.82925945520401, 0.8163810968399048, 0.7903109788894653, 0.7500077486038208, 0.7218708992004395, 0.7021225690841675, 0.6783446669578552, 0.654912531375885, 0.64798903465271, 0.6279828548431396, 0.6083051562309265, 0.6023067831993103, 0.59650057554245, 0.5790391564369202, 0.5549445748329163, 0.5432998538017273, 0.5166893601417542, 0.5042850375175476, 0.5030125379562378, 0.4825788736343384, 0.4561648666858673, 0.4351590573787689, 0.4079083800315857, 0.3985142111778259, 0.3876696527004242, 0.42791908979415894, 0.40029585361480713, 0.374870240688324, 0.34277334809303284, 0.32532376050949097, 0.32265588641166687, 0.3203586935997009, 0.3438695967197418, 0.358443021774292, 0.3357241153717041, 0.29752135276794434, 0.25519779324531555, 0.22436709702014923, 0.2108144313097, 0.21408645808696747, 0.253063827753067, 0.2542962431907654, 0.2337108701467514, 0.21151156723499298, 0.1947714388370514, 0.18562856316566467, 0.21161866188049316, 0.23680561780929565, 0.2287488728761673, 0.201135516166687], 'accuracy': [0.281614750623703, 0.39904558658599854, 0.46940091252326965, 0.5107854604721069, 0.528922438621521, 0.5624395608901978, 0.5866705179214478, 0.6083059310913086, 0.622170627117157, 0.64225834608078, 0.6581221222877502, 0.6625556349754333, 0.6736634969711304, 0.688076376914978, 0.7005707025527954, 0.7102276682853699, 0.7214806079864502, 0.7304443120956421, 0.7336686849594116, 0.7417778968811035, 0.7508221864700317, 0.7537563443183899, 0.7549171447753906, 0.7613174915313721, 0.7738440632820129, 0.779954195022583, 0.7917553186416626, 0.7945766448974609, 0.7962210774421692, 0.8061359524726868, 0.8178241848945618, 0.8282549977302551, 0.8400077223777771, 0.8425227403640747, 0.8493261337280273, 0.8300283551216125, 0.8411523699760437, 0.8531469702720642, 0.8683175444602966, 0.87457275390625, 0.8762171864509583, 0.8767653107643127, 0.868269145488739, 0.8601599335670471, 0.8707358241081238, 0.8857290148735046, 0.9050751328468323, 0.9175856113433838, 0.9220029711723328, 0.9197298288345337, 0.9054297804832458, 0.904075562953949, 0.912136435508728, 0.9221802949905396, 0.9282743334770203, 0.9326916933059692, 0.9227445721626282, 0.9127652049064636, 0.9149255156517029, 0.9270813465118408], 'val_loss': [1.6703543663024902, 1.422589659690857, 1.225257396697998, 1.1526955366134644, 1.1130008697509766, 1.0002385377883911, 0.9331718683242798, 0.8979930281639099, 0.8532766699790955, 0.8462249040603638, 0.8127824664115906, 0.7850910425186157, 0.7678727507591248, 0.7646409869194031, 0.7507874369621277, 0.7583828568458557, 0.7276332974433899, 0.8462346792221069, 0.7556296586990356, 0.7333129644393921, 0.7619566917419434, 0.7650898694992065, 0.7359069585800171, 0.7712917923927307, 0.7252119779586792, 0.7109392285346985, 0.7186909914016724, 0.763846755027771, 0.8131541013717651, 0.8368088006973267, 0.890941858291626, 0.8779401183128357, 0.92653489112854, 1.0041519403457642, 0.9580496549606323, 0.9225940108299255, 0.8843365907669067, 0.8470840454101562, 0.869286060333252, 0.8910378217697144, 0.9713343977928162, 0.981657087802887, 0.8990495204925537, 0.7934157252311707, 0.9614631533622742, 0.9875266551971436, 1.1132972240447998, 1.1710323095321655, 1.185136079788208, 1.2642316818237305, 1.2774289846420288, 1.306627869606018, 1.2333327531814575, 1.2999823093414307, 1.2907744646072388, 1.1847864389419556, 1.1612746715545654, 1.0242831707000732, 1.0973831415176392, 1.064406156539917], 'val_accuracy': [0.35850638151168823, 0.44021669030189514, 0.5170256495475769, 0.5342448353767395, 0.5520443916320801, 0.5903521180152893, 0.6129240393638611, 0.6279504895210266, 0.6424610018730164, 0.6471043229103088, 0.6580033302307129, 0.6694827675819397, 0.6773506999015808, 0.6763833165168762, 0.6816716194152832, 0.6809622049331665, 0.6930220723152161, 0.6505223512649536, 0.6833483576774597, 0.6928930878639221, 0.6853476166725159, 0.6861215233802795, 0.6996001601219177, 0.6892170906066895, 0.7050173878669739, 0.7120469212532043, 0.7118535041809082, 0.6998581290245056, 0.6905068755149841, 0.6876692771911621, 0.679801344871521, 0.6848316788673401, 0.6836708188056946, 0.6745131015777588, 0.6886366605758667, 0.6939249038696289, 0.7115310430526733, 0.7256546020507812, 0.7211402058601379, 0.71565842628479, 0.7066941857337952, 0.6979233622550964, 0.6979878544807434, 0.7255901098251343, 0.7016638517379761, 0.7077260613441467, 0.6899909973144531, 0.698826253414154, 0.6990842223167419, 0.6864439845085144, 0.6836063265800476, 0.6910228133201599, 0.7025667428970337, 0.6975364089012146, 0.7049528956413269, 0.7211402058601379, 0.7173352241516113, 0.7217206358909607, 0.7147555947303772, 0.7212046980857849]}",saved_models_config_8/A3B_relu_k5_improved_7_classes_dense_aug_gray_best_model.keras,
256,60,1,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,True,True,B2B_deep_bn_7_classes_dense_aug_gray,"{'loss': [1.8317431211471558, 1.6108146905899048, 1.4101324081420898, 1.268531322479248, 1.1583733558654785, 1.0784742832183838, 1.0219048261642456, 0.9782795310020447, 0.9165887832641602, 0.8831929564476013, 0.8667271137237549, 0.8254717588424683, 0.8070652484893799, 0.7781664133071899, 0.7520715594291687, 0.7246173024177551, 0.711281955242157, 0.6897158622741699, 0.6657038331031799, 0.6421129107475281, 0.6280608177185059, 0.613997757434845, 0.5954939126968384, 0.5707944631576538, 0.579602062702179, 0.5543531179428101, 0.5340001583099365, 0.5243959426879883, 0.5059795379638672, 0.49939239025115967, 0.4824046790599823, 0.47158217430114746, 0.4520726799964905, 0.43062135577201843, 0.4346051514148712, 0.40984565019607544, 0.4058246910572052, 0.3835931718349457, 0.3608931601047516, 0.3553740680217743, 0.3427245616912842, 0.353005588054657, 0.35712847113609314, 0.34339022636413574, 0.30934077501296997, 0.29552674293518066, 0.27003756165504456, 0.27298542857170105, 0.28872403502464294, 0.2657428979873657, 0.2633974552154541, 0.28126952052116394, 0.26790082454681396, 0.2368270605802536, 0.21842889487743378, 0.19092747569084167, 0.19060666859149933, 0.19727614521980286, 0.18871189653873444, 0.1866055577993393], 'accuracy': [0.2648642659187317, 0.3717030882835388, 0.44778165221214294, 0.4963403642177582, 0.5379989743232727, 0.5666634440422058, 0.58844393491745, 0.6018733382225037, 0.624782383441925, 0.6377442479133606, 0.6463371515274048, 0.6580253839492798, 0.6688269972801208, 0.6794995665550232, 0.6899787187576294, 0.6996678709983826, 0.7049074769020081, 0.7161120772361755, 0.7251402735710144, 0.7350389957427979, 0.7410846948623657, 0.7478074431419373, 0.7556425929069519, 0.7690720558166504, 0.7642032504081726, 0.7753595113754272, 0.7811310887336731, 0.7867414951324463, 0.7940768599510193, 0.7993648052215576, 0.805829644203186, 0.8115850687026978, 0.820693850517273, 0.82772296667099, 0.8276423811912537, 0.836364209651947, 0.8390243053436279, 0.8506481051445007, 0.858983039855957, 0.8612239360809326, 0.8662539720535278, 0.8623524904251099, 0.8618366122245789, 0.867882251739502, 0.8830205798149109, 0.8876636624336243, 0.8983845710754395, 0.8975785374641418, 0.891597330570221, 0.9020925760269165, 0.9006416201591492, 0.8937415480613708, 0.8993518948554993, 0.9134906530380249, 0.9187141060829163, 0.9314987063407898, 0.9318211078643799, 0.9282420873641968, 0.9316437840461731, 0.9325949549674988], 'val_loss': [1.7627863883972168, 1.4268735647201538, 1.2563741207122803, 1.142693042755127, 1.0613218545913696, 1.0121369361877441, 0.9512760043144226, 0.9092744588851929, 0.8848217129707336, 0.8539811372756958, 0.8349695205688477, 0.8729715943336487, 0.815178394317627, 0.7919026017189026, 0.7783401608467102, 0.8167049288749695, 0.7783024311065674, 0.7576486468315125, 0.74796462059021, 0.7535056471824646, 0.7708421349525452, 0.7650811076164246, 0.7752323746681213, 0.7444299459457397, 0.7357497215270996, 0.7320384979248047, 0.769842803478241, 0.7774363160133362, 0.8123720288276672, 0.782234251499176, 0.8634843826293945, 0.9257983565330505, 0.9069094657897949, 0.8805133104324341, 0.8903784155845642, 1.0679911375045776, 1.0054377317428589, 1.015670895576477, 1.001225233078003, 1.004544734954834, 0.9959549307823181, 0.8049521446228027, 0.8074784874916077, 0.8380674123764038, 0.9157021045684814, 0.9689911603927612, 0.9851378202438354, 1.0305228233337402, 0.9330273866653442, 1.002342939376831, 1.0229977369308472, 1.0516717433929443, 1.156796932220459, 1.409250259399414, 1.6258163452148438, 1.5050002336502075, 1.649901270866394, 1.3590519428253174, 1.4361830949783325, 1.3801805973052979], 'val_accuracy': [0.31026700139045715, 0.43299368023872375, 0.49941956996917725, 0.5425641536712646, 0.56900554895401, 0.5864826440811157, 0.6086031198501587, 0.6184702515602112, 0.629820704460144, 0.6444602012634277, 0.6467174291610718, 0.6365277767181396, 0.6595511436462402, 0.6697407364845276, 0.6702566742897034, 0.6605830192565918, 0.6743196249008179, 0.6790274977684021, 0.6859280467033386, 0.6852831244468689, 0.679220974445343, 0.6833483576774597, 0.6814781427383423, 0.690829336643219, 0.6939249038696289, 0.6972784996032715, 0.6867018938064575, 0.6886366605758667, 0.6928930878639221, 0.7049528956413269, 0.6948922872543335, 0.6857345700263977, 0.6903133988380432, 0.6954727172851562, 0.6973429918289185, 0.6734812259674072, 0.6887656450271606, 0.6910228133201599, 0.6923126578330994, 0.6925706267356873, 0.7037920951843262, 0.7250741720199585, 0.7155939340591431, 0.7164323329925537, 0.7124983668327332, 0.712820827960968, 0.7233328819274902, 0.7103701829910278, 0.7227525115013123, 0.7271378636360168, 0.7199793457984924, 0.7132722735404968, 0.7141106724739075, 0.7032761573791504, 0.6862505078315735, 0.7026312351226807, 0.7013413906097412, 0.7154005169868469, 0.7092093229293823, 0.6958596706390381]}",saved_models_config_8/B2B_deep_bn_7_classes_dense_aug_gray_best_model.keras,True
256,60,1,0.5,classification,7,"[32, 64, 128]",7,relu,"[128, 64]",softmax,True,True,A4B_relu_k7_7_classes_dense_aug_gray,"{'loss': [1.8439838886260986, 1.791459321975708, 1.7501705884933472, 1.696770429611206, 1.5643597841262817, 1.4445046186447144, 1.3736716508865356, 1.3184252977371216, 1.271295189857483, 1.2453371286392212, 1.2048656940460205, 1.1692368984222412, 1.1422853469848633, 1.116955041885376, 1.0865764617919922, 1.0653142929077148, 1.0457032918930054, 1.0233230590820312, 1.0027389526367188, 0.9894367456436157, 0.9776686429977417, 0.9497733116149902, 0.9399178624153137, 0.924085795879364, 0.90162593126297, 0.8948259949684143, 0.8924983739852905, 0.8710548281669617, 0.8566089272499084, 0.8422053456306458, 0.833261251449585, 0.8181663751602173, 0.8199811577796936, 0.807339072227478, 0.8024996519088745, 0.7975363731384277, 0.790482223033905, 0.7735918164253235, 0.7732983231544495, 0.7640484571456909, 0.755111575126648, 0.7401067018508911, 0.7414025664329529, 0.7280982136726379, 0.727146327495575, 0.7129350304603577, 0.7057188153266907, 0.6934099793434143, 0.7095720171928406, 0.6857063174247742, 0.6868586540222168, 0.6844244003295898, 0.7026051878929138, 0.6826425790786743, 0.6706413626670837, 0.6767187118530273, 0.6781054735183716, 0.6702808141708374, 0.6603589653968811, 0.6491418480873108], 'accuracy': [0.2638646960258484, 0.31327787041664124, 0.3389114737510681, 0.3647546172142029, 0.40975043177604675, 0.439462810754776, 0.46138840913772583, 0.48087960481643677, 0.4973399043083191, 0.5078351497650146, 0.522683322429657, 0.5357096791267395, 0.5438350439071655, 0.5552331209182739, 0.5638260245323181, 0.5712258815765381, 0.5794157385826111, 0.5844457149505615, 0.5935384035110474, 0.6003256440162659, 0.603195309638977, 0.6156412959098816, 0.6182852983474731, 0.6247984766960144, 0.6342458128929138, 0.6328432559967041, 0.634068489074707, 0.6427258849143982, 0.6482234001159668, 0.6553331017494202, 0.6586703062057495, 0.662781298160553, 0.6609434485435486, 0.6651995778083801, 0.6702295541763306, 0.6708099842071533, 0.6750016212463379, 0.6818533539772034, 0.6822080612182617, 0.6840620636940002, 0.6872057914733887, 0.6940897703170776, 0.6955084800720215, 0.696636974811554, 0.6991681456565857, 0.7052298784255981, 0.7080028653144836, 0.7150641679763794, 0.7064874172210693, 0.7178854942321777, 0.7152737379074097, 0.7150480151176453, 0.7083252668380737, 0.7194976210594177, 0.7210614681243896, 0.7204810976982117, 0.7197072505950928, 0.7236893177032471, 0.726865291595459, 0.7306861281394958], 'val_loss': [1.7896027565002441, 1.749646544456482, 1.7883148193359375, 1.6569955348968506, 1.480617880821228, 1.3520554304122925, 1.2886377573013306, 1.2397147417068481, 1.2029401063919067, 1.2113006114959717, 1.152541160583496, 1.1117610931396484, 1.0778721570968628, 1.0840996503829956, 1.0379022359848022, 1.000988245010376, 1.0299309492111206, 0.9993314743041992, 0.9984213709831238, 1.0103391408920288, 0.9435992240905762, 0.932869553565979, 0.9018372893333435, 0.889853835105896, 0.8921618461608887, 0.903427004814148, 0.8773351311683655, 0.8740550875663757, 0.8623551726341248, 0.8333844542503357, 0.8589494824409485, 0.8607279062271118, 0.8558748364448547, 0.8636247515678406, 0.8306040167808533, 0.8571407198905945, 0.9085124731063843, 0.8253079652786255, 0.8761819005012512, 0.8043938875198364, 0.787255048751831, 0.8173661828041077, 0.8346749544143677, 0.8156644701957703, 0.8401772975921631, 0.8045015931129456, 0.7982156872749329, 0.7825844883918762, 0.8250918984413147, 0.7776792049407959, 0.833359956741333, 0.8056003451347351, 0.787202000617981, 0.7888850569725037, 0.7940177321434021, 0.8086963295936584, 0.8071642518043518, 0.8083288073539734, 0.7882248759269714, 0.7997891902923584], 'val_accuracy': [0.3071069121360779, 0.3372887969017029, 0.30020636320114136, 0.38456082344055176, 0.428027868270874, 0.4653037488460541, 0.488972008228302, 0.5031600594520569, 0.522055983543396, 0.516832172870636, 0.5365020036697388, 0.5480459332466125, 0.5602992177009583, 0.5582355260848999, 0.5717141628265381, 0.5863536596298218, 0.5786147117614746, 0.5879659652709961, 0.5873210430145264, 0.5818392634391785, 0.6083451509475708, 0.6140204071998596, 0.6260157227516174, 0.6258867383003235, 0.6318199634552002, 0.6259512305259705, 0.6348510384559631, 0.6346575617790222, 0.6397523283958435, 0.6496195197105408, 0.6414936184883118, 0.6398168206214905, 0.6420740485191345, 0.6420095562934875, 0.6509093046188354, 0.6456855535507202, 0.6329807639122009, 0.6569070219993591, 0.6411711573600769, 0.6632271409034729, 0.6730942726135254, 0.6646459698677063, 0.654778778553009, 0.6648394465446472, 0.6585837602615356, 0.6665806770324707, 0.6723848581314087, 0.6754159927368164, 0.6675480604171753, 0.6836708188056946, 0.6620662808418274, 0.6700631976127625, 0.6735457181930542, 0.6788985133171082, 0.6765767931938171, 0.6725138425827026, 0.6729652881622314, 0.67406165599823, 0.6843802332878113, 0.6810266971588135]}",saved_models_config_8/A4B_relu_k7_7_classes_dense_aug_gray_best_model.keras,
