batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,batch_norm,batch_norm_dense,normalize,aug_data,use_skip,l2_reg,name,loss,metrics,best_model_path,history
64,120,3,0.5,regression,7,"[32, 64, 128, 256]",3,relu,[128],relu,True,False,True,False,False,0.0001,CNN_tuned_small_4block_bn_dropout_gap,mse,"['mse', 'mae']",regression_saved_models_config_15/CNN_tuned_small_4block_bn_dropout_gap_best_model.keras,"{'loss': [1457.6591796875, 1382.4063720703125, 1329.6171875, 1287.0233154296875, 1254.263671875, 1220.25146484375, 1191.540283203125, 1166.2919921875, 1132.9639892578125, 1106.5513916015625, 1074.9659423828125, 1047.857421875, 1017.0263061523438, 982.03857421875, 953.4341430664062, 931.2064819335938, 900.4358520507812, 878.5119018554688, 853.1248779296875, 832.1068115234375, 816.9529418945312, 795.7642211914062, 774.7991333007812, 755.5440063476562, 736.737060546875, 720.6522216796875, 693.8699951171875, 683.9916381835938, 662.68994140625, 648.7340698242188, 631.2117919921875, 609.7769775390625, 603.1303100585938, 587.0784301757812, 578.3897094726562, 556.5401611328125, 545.6954345703125, 532.99609375, 524.4608154296875, 503.7447814941406, 495.273681640625, 484.2958068847656, 473.1619567871094, 470.1933288574219, 458.9979553222656, 451.25152587890625, 441.6804504394531, 435.0600280761719, 432.2644958496094, 421.2542724609375, 409.1706237792969, 409.1454162597656, 398.14764404296875, 393.33160400390625, 390.923583984375, 384.1615905761719, 379.7710266113281, 377.70263671875, 370.01055908203125, 365.8851318359375, 362.7508239746094, 362.3802490234375, 357.6202087402344, 349.4109191894531, 350.104248046875, 352.66864013671875, 346.4358825683594, 344.1455078125, 341.643798828125, 339.6134948730469, 337.94927978515625, 328.61761474609375, 327.6329650878906, 322.4825439453125, 323.7577209472656, 321.4521789550781, 320.4997863769531, 321.6001892089844, 317.4366760253906, 309.68121337890625, 313.4612121582031, 309.9586486816406, 310.0732116699219, 307.2319641113281, 302.7862854003906, 301.03619384765625, 303.80938720703125, 299.7814636230469, 297.87060546875, 302.5219421386719, 293.73687744140625, 290.7070007324219, 289.59356689453125, 293.90032958984375, 286.9540100097656, 287.5196838378906, 279.6092834472656, 281.0579833984375, 284.8875427246094, 279.70196533203125, 276.0541076660156, 273.2253112792969, 280.5106201171875, 278.5957946777344, 278.810546875, 275.882568359375, 273.70849609375, 269.6566162109375, 272.512939453125, 265.4388427734375, 265.676513671875, 264.0264892578125, 264.7757263183594, 260.1806335449219, 261.4212341308594, 265.1316833496094, 259.4052734375, 260.6097717285156, 260.9069519042969, 258.29742431640625], 'mse': [1457.6591796875, 1382.4063720703125, 1329.6171875, 1287.0233154296875, 1254.263671875, 1220.25146484375, 1191.540283203125, 1166.2919921875, 1132.9639892578125, 1106.5513916015625, 1074.9659423828125, 1047.857421875, 1017.0263061523438, 982.03857421875, 953.4341430664062, 931.2064819335938, 900.4358520507812, 878.5119018554688, 853.1248779296875, 832.1068115234375, 816.9529418945312, 795.7642211914062, 774.7991333007812, 755.5440063476562, 736.737060546875, 720.6522216796875, 693.8699951171875, 683.9916381835938, 662.68994140625, 648.7340698242188, 631.2117919921875, 609.7769775390625, 603.1303100585938, 587.0784301757812, 578.3897094726562, 556.5401611328125, 545.6954345703125, 532.99609375, 524.4608154296875, 503.7447814941406, 495.273681640625, 484.2958068847656, 473.1619567871094, 470.1933288574219, 458.9979553222656, 451.25152587890625, 441.6804504394531, 435.0600280761719, 432.2644958496094, 421.2542724609375, 409.1706237792969, 409.1454162597656, 398.14764404296875, 393.33160400390625, 390.923583984375, 384.1615905761719, 379.7710266113281, 377.70263671875, 370.01055908203125, 365.8851318359375, 362.7508239746094, 362.3802490234375, 357.6202087402344, 349.4109191894531, 350.104248046875, 352.66864013671875, 346.4358825683594, 344.1455078125, 341.643798828125, 339.6134948730469, 337.94927978515625, 328.61761474609375, 327.6329650878906, 322.4825439453125, 323.7577209472656, 321.4521789550781, 320.4997863769531, 321.6001892089844, 317.4366760253906, 309.68121337890625, 313.4612121582031, 309.9586486816406, 310.0732116699219, 307.2319641113281, 302.7862854003906, 301.03619384765625, 303.80938720703125, 299.7814636230469, 297.87060546875, 302.5219421386719, 293.73687744140625, 290.7070007324219, 289.59356689453125, 293.90032958984375, 286.9540100097656, 287.5196838378906, 279.6092834472656, 281.0579833984375, 284.8875427246094, 279.70196533203125, 276.0541076660156, 273.2253112792969, 280.5106201171875, 278.5957946777344, 278.810546875, 275.882568359375, 273.70849609375, 269.6566162109375, 272.512939453125, 265.4388427734375, 265.676513671875, 264.0264892578125, 264.7757263183594, 260.1806335449219, 261.4212341308594, 265.1316833496094, 259.4052734375, 260.6097717285156, 260.9069519042969, 258.29742431640625], 'mae': [29.154315948486328, 28.057510375976562, 27.383268356323242, 26.871658325195312, 26.46976089477539, 26.066144943237305, 25.714147567749023, 25.401090621948242, 24.9954776763916, 24.685598373413086, 24.284515380859375, 23.980527877807617, 23.62327003479004, 23.21883773803711, 22.93102264404297, 22.672883987426758, 22.337127685546875, 22.072555541992188, 21.82439613342285, 21.606769561767578, 21.423030853271484, 21.23790168762207, 20.986427307128906, 20.747238159179688, 20.592666625976562, 20.370223999023438, 20.01988410949707, 19.896886825561523, 19.621475219726562, 19.455469131469727, 19.19501495361328, 18.91904640197754, 18.86173439025879, 18.665163040161133, 18.444154739379883, 18.125999450683594, 17.94775390625, 17.781768798828125, 17.644779205322266, 17.264219284057617, 17.118844985961914, 16.917707443237305, 16.72928810119629, 16.671405792236328, 16.419559478759766, 16.26099395751953, 16.15973663330078, 15.999201774597168, 15.908163070678711, 15.731178283691406, 15.497364044189453, 15.462140083312988, 15.226846694946289, 15.160446166992188, 15.09360408782959, 14.933333396911621, 14.867484092712402, 14.767584800720215, 14.638644218444824, 14.527353286743164, 14.428976058959961, 14.39964485168457, 14.340396881103516, 14.108144760131836, 14.155900001525879, 14.19001293182373, 14.094205856323242, 13.966473579406738, 13.920406341552734, 13.921368598937988, 13.802120208740234, 13.588591575622559, 13.646719932556152, 13.52794361114502, 13.520540237426758, 13.468417167663574, 13.44247817993164, 13.404748916625977, 13.384099960327148, 13.211312294006348, 13.329655647277832, 13.177498817443848, 13.193510055541992, 13.147013664245605, 13.023255348205566, 12.983967781066895, 13.056252479553223, 12.925851821899414, 12.898303985595703, 13.013861656188965, 12.760766983032227, 12.760921478271484, 12.72248649597168, 12.805148124694824, 12.691551208496094, 12.695466995239258, 12.487946510314941, 12.555756568908691, 12.62784194946289, 12.477547645568848, 12.428834915161133, 12.329330444335938, 12.517495155334473, 12.451600074768066, 12.416034698486328, 12.348733901977539, 12.331389427185059, 12.25304126739502, 12.311964988708496, 12.199849128723145, 12.180662155151367, 12.131478309631348, 12.094866752624512, 11.977669715881348, 12.029899597167969, 12.179189682006836, 11.949187278747559, 12.045961380004883, 12.02548885345459, 11.951461791992188], 'val_loss': [1366.2159423828125, 1302.108154296875, 1221.619873046875, 1177.6624755859375, 1145.75732421875, 1108.8974609375, 1072.360107421875, 1040.40185546875, 1011.0660400390625, 985.1779174804688, 960.1431884765625, 932.2762451171875, 904.8756103515625, 880.1656494140625, 851.767578125, 824.85888671875, 801.9354248046875, 779.6371459960938, 763.2349243164062, 743.9124145507812, 730.2965087890625, 719.9030151367188, 699.5996704101562, 681.8411865234375, 657.8720092773438, 635.8296508789062, 616.0042724609375, 587.2540283203125, 556.1991577148438, 540.2543334960938, 518.2847290039062, 501.3451843261719, 490.0007629394531, 479.8263244628906, 477.0531311035156, 458.976318359375, 447.6089172363281, 451.61834716796875, 451.2108154296875, 439.48089599609375, 422.73651123046875, 421.01666259765625, 436.055419921875, 456.30908203125, 439.02496337890625, 415.3747863769531, 397.0453796386719, 396.4298095703125, 401.4094543457031, 397.2044372558594, 407.3480224609375, 386.8852233886719, 421.7963562011719, 395.2955322265625, 373.1661682128906, 428.1348876953125, 452.04095458984375, 399.83404541015625, 366.82904052734375, 366.1046447753906, 365.4591064453125, 380.56884765625, 345.8135070800781, 370.0800476074219, 376.3758239746094, 373.5745544433594, 363.2252502441406, 336.5867614746094, 385.9773254394531, 345.8642883300781, 350.8422546386719, 349.8096618652344, 313.06158447265625, 349.3317565917969, 352.145263671875, 297.0471496582031, 301.12689208984375, 301.6396789550781, 337.66815185546875, 304.1713562011719, 295.2966613769531, 316.5428466796875, 336.1459655761719, 307.43084716796875, 296.16009521484375, 287.5191955566406, 297.7120666503906, 291.7921142578125, 284.32177734375, 291.8432922363281, 337.4740905761719, 288.6149597167969, 293.4083557128906, 290.7802734375, 270.3478088378906, 286.4322509765625, 286.0662536621094, 281.6238098144531, 281.8475646972656, 314.1925354003906, 284.79351806640625, 298.976318359375, 275.2509460449219, 282.1862487792969, 266.8274230957031, 251.7554473876953, 269.5878601074219, 259.0246887207031, 256.89605712890625, 267.5578308105469, 273.54327392578125, 263.04071044921875, 250.8025665283203, 244.6895751953125, 254.0752716064453, 254.68150329589844, 258.376708984375, 256.1966857910156, 247.5760955810547, 244.78224182128906], 'val_mse': [1366.2159423828125, 1302.108154296875, 1221.619873046875, 1177.6624755859375, 1145.75732421875, 1108.8974609375, 1072.360107421875, 1040.40185546875, 1011.0660400390625, 985.1779174804688, 960.1431884765625, 932.2762451171875, 904.8756103515625, 880.1656494140625, 851.767578125, 824.85888671875, 801.9354248046875, 779.6371459960938, 763.2349243164062, 743.9124145507812, 730.2965087890625, 719.9030151367188, 699.5996704101562, 681.8411865234375, 657.8720092773438, 635.8296508789062, 616.0042724609375, 587.2540283203125, 556.1991577148438, 540.2543334960938, 518.2847290039062, 501.3451843261719, 490.0007629394531, 479.8263244628906, 477.0531311035156, 458.976318359375, 447.6089172363281, 451.61834716796875, 451.2108154296875, 439.48089599609375, 422.73651123046875, 421.01666259765625, 436.055419921875, 456.30908203125, 439.02496337890625, 415.3747863769531, 397.0453796386719, 396.4298095703125, 401.4094543457031, 397.2044372558594, 407.3480224609375, 386.8852233886719, 421.7963562011719, 395.2955322265625, 373.1661682128906, 428.1348876953125, 452.04095458984375, 399.83404541015625, 366.82904052734375, 366.1046447753906, 365.4591064453125, 380.56884765625, 345.8135070800781, 370.0800476074219, 376.3758239746094, 373.5745544433594, 363.2252502441406, 336.5867614746094, 385.9773254394531, 345.8642883300781, 350.8422546386719, 349.8096618652344, 313.06158447265625, 349.3317565917969, 352.145263671875, 297.0471496582031, 301.12689208984375, 301.6396789550781, 337.66815185546875, 304.1713562011719, 295.2966613769531, 316.5428466796875, 336.1459655761719, 307.43084716796875, 296.16009521484375, 287.5191955566406, 297.7120666503906, 291.7921142578125, 284.32177734375, 291.8432922363281, 337.4740905761719, 288.6149597167969, 293.4083557128906, 290.7802734375, 270.3478088378906, 286.4322509765625, 286.0662536621094, 281.6238098144531, 281.8475646972656, 314.1925354003906, 284.79351806640625, 298.976318359375, 275.2509460449219, 282.1862487792969, 266.8274230957031, 251.7554473876953, 269.5878601074219, 259.0246887207031, 256.89605712890625, 267.5578308105469, 273.54327392578125, 263.04071044921875, 250.8025665283203, 244.6895751953125, 254.0752716064453, 254.68150329589844, 258.376708984375, 256.1966857910156, 247.5760955810547, 244.78224182128906], 'val_mae': [27.894229888916016, 26.81685447692871, 25.75524139404297, 25.23242950439453, 24.844148635864258, 24.394901275634766, 23.942155838012695, 23.546606063842773, 23.190828323364258, 22.881101608276367, 22.58951759338379, 22.270376205444336, 21.973054885864258, 21.693225860595703, 21.405290603637695, 21.127880096435547, 20.896467208862305, 20.706966400146484, 20.510906219482422, 20.32623863220215, 20.195573806762695, 20.044578552246094, 19.868438720703125, 19.67656707763672, 19.460309982299805, 19.245508193969727, 19.00520133972168, 18.725099563598633, 18.45598793029785, 18.230735778808594, 18.071914672851562, 17.952970504760742, 17.89571189880371, 17.723430633544922, 17.88395881652832, 17.353546142578125, 16.988033294677734, 17.407947540283203, 17.485458374023438, 17.19272232055664, 16.769779205322266, 16.764469146728516, 17.245040893554688, 17.79361343383789, 17.387603759765625, 16.793975830078125, 16.328567504882812, 16.3541202545166, 16.521921157836914, 16.447202682495117, 16.734947204589844, 16.20574188232422, 17.099788665771484, 16.41991424560547, 15.818594932556152, 17.26354217529297, 17.805421829223633, 16.524259567260742, 15.703154563903809, 15.669677734375, 15.646693229675293, 16.098731994628906, 15.058796882629395, 15.762754440307617, 15.929147720336914, 15.920544624328613, 15.594210624694824, 14.8699951171875, 16.24447250366211, 15.144254684448242, 15.286657333374023, 15.298707962036133, 14.160225868225098, 15.261591911315918, 15.36176872253418, 13.591620445251465, 13.738177299499512, 13.726313591003418, 14.905293464660645, 13.906883239746094, 13.6390962600708, 14.352716445922852, 14.918416976928711, 14.016100883483887, 13.647140502929688, 13.36463737487793, 13.751398086547852, 13.603775024414062, 13.383118629455566, 13.56035041809082, 14.936936378479004, 13.444064140319824, 13.620737075805664, 13.52960205078125, 12.838190078735352, 13.407903671264648, 13.457962036132812, 13.220600128173828, 13.352523803710938, 14.295038223266602, 13.385581970214844, 13.887248039245605, 12.99587631225586, 13.199504852294922, 12.823829650878906, 12.099322319030762, 12.887289047241211, 12.47469425201416, 12.34785270690918, 12.810139656066895, 12.986346244812012, 12.597007751464844, 12.039767265319824, 11.84872055053711, 12.239389419555664, 12.288750648498535, 12.457515716552734, 12.31536865234375, 12.0335111618042, 11.871413230895996]}"
1024,120,3,0.5,regression,7,"[32, 64, 128, 256]",3,relu,[128],relu,True,False,True,True,False,0.0001,CNN_tuned_small_4block_bn_dropout_gap,mse,"['mse', 'mae']",,
1024,500,3,0.5,regression,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",linear,True,False,True,True,True,0.0001,B2B_deep_bn_reg_aug_skip_l2,mse,"['mse', 'mae']",,
