batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,name,history,best_model_path,batch_norm,lr_schedule,batch_norm_dense
256,120,3,0.5,classification,13,"[32, 64, 128]",3,relu,[128],softmax,baseline,"{'loss': [2.4820547103881836, 2.457106113433838, 2.4342637062072754, 2.4068191051483154, 2.372159957885742, 2.360646963119507, 2.3470265865325928, 2.3389251232147217, 2.3249926567077637, 2.313835859298706, 2.3091273307800293, 2.2978837490081787, 2.2891972064971924, 2.284600019454956, 2.2700788974761963, 2.2605817317962646, 2.2470881938934326, 2.2352423667907715, 2.2265191078186035, 2.226301670074463, 2.2048423290252686, 2.19683575630188, 2.183194398880005, 2.171668291091919, 2.1659891605377197, 2.1820173263549805, 2.1448514461517334, 2.149395704269409, 2.128472089767456, 2.1150801181793213, 2.120359420776367, 2.089041233062744, 2.1160714626312256, 2.146758794784546, 2.1280970573425293, 2.09501314163208, 2.084326982498169, 2.0628814697265625, 2.1167681217193604, 2.0791873931884766, 2.0760536193847656, 2.173833131790161, 2.09159779548645, 2.0642035007476807, 2.0519309043884277, 2.0343921184539795, 2.0046021938323975, 2.0127105712890625, 2.007676601409912, 2.0152573585510254, 1.9942865371704102, 1.9812078475952148, 1.9853756427764893, 1.9794421195983887, 1.9651817083358765, 1.9610306024551392, 1.9411191940307617, 1.943048357963562, 1.9297188520431519, 1.932220458984375, 1.9297174215316772, 1.915319800376892, 1.912828803062439, 1.9169867038726807, 1.901228904724121, 1.9164701700210571, 1.9043841361999512, 1.9064465761184692, 1.8915714025497437, 1.8863463401794434, 1.866763949394226, 1.8749803304672241, 1.864119052886963, 1.8667558431625366, 1.8753856420516968, 1.8618624210357666, 1.936557412147522, 1.8802368640899658, 1.8564287424087524, 1.852083683013916, 1.843954086303711, 1.841574788093567, 1.845091700553894, 1.8427202701568604, 1.8246954679489136, 1.8262385129928589, 1.8417659997940063, 1.8258740901947021, 1.817720651626587, 1.810666561126709, 1.824133038520813, 1.8217138051986694, 1.8066989183425903, 1.8166677951812744, 1.8052836656570435, 1.7899476289749146, 1.7845144271850586, 1.7909901142120361, 1.7950648069381714, 1.786618709564209, 1.7860841751098633, 1.7654004096984863, 1.769416093826294, 1.7712812423706055, 1.7692322731018066, 1.7599413394927979, 1.7534350156784058, 1.7540069818496704, 1.7506712675094604, 1.7449108362197876, 1.7490921020507812, 1.737221360206604, 1.7401082515716553, 1.736706018447876, 1.7419815063476562, 1.7301961183547974, 1.7283159494400024, 1.724671483039856, 1.7168828248977661, 1.7224892377853394], 'accuracy': [0.15336622297763824, 0.17005223035812378, 0.18804411590099335, 0.20922808349132538, 0.22896111011505127, 0.22954149544239044, 0.23229831457138062, 0.2391178160905838, 0.23955310881137848, 0.2434706836938858, 0.24216483533382416, 0.24651770293712616, 0.249709814786911, 0.247823566198349, 0.25333720445632935, 0.25754499435424805, 0.2588508427143097, 0.2611723840236664, 0.26378411054611206, 0.2611723840236664, 0.26596054434776306, 0.27539175748825073, 0.2745211720466614, 0.2758270502090454, 0.2804701030254364, 0.27887406945228577, 0.28612884879112244, 0.28366222977638245, 0.2864190340042114, 0.29454439878463745, 0.2913523018360138, 0.29265815019607544, 0.2910620868206024, 0.2825014591217041, 0.2912071943283081, 0.2941091060638428, 0.29904237389564514, 0.3019442856311798, 0.2890307605266571, 0.2959953546524048, 0.2958502471446991, 0.2739408016204834, 0.29512476921081543, 0.2977364957332611, 0.30731281638145447, 0.3026697635650635, 0.31601858139038086, 0.31224608421325684, 0.3091990649700165, 0.31166571378707886, 0.3173244297504425, 0.3170342445373535, 0.31906557083129883, 0.3081834018230438, 0.3222576975822449, 0.32501450181007385, 0.32283806800842285, 0.32530468702316284, 0.3279164135456085, 0.3215322196483612, 0.3261752724647522, 0.3257399797439575, 0.32893210649490356, 0.3283517062664032, 0.3347359299659729, 0.3261752724647522, 0.33357515931129456, 0.3350261151790619, 0.33618688583374023, 0.3417005240917206, 0.34445732831954956, 0.3392339050769806, 0.3412652313709259, 0.34271618723869324, 0.33328497409820557, 0.3480847477912903, 0.33154383301734924, 0.33836331963539124, 0.34663379192352295, 0.3485200107097626, 0.3485200107097626, 0.3414103388786316, 0.34663379192352295, 0.34445732831954956, 0.3480847477912903, 0.3479396402835846, 0.34228089451789856, 0.34677886962890625, 0.3562101125717163, 0.3592571020126343, 0.3495357036590576, 0.3524376153945923, 0.35722577571868896, 0.35156702995300293, 0.3585316240787506, 0.3546140491962433, 0.3585316240787506, 0.35562971234321594, 0.3566453754901886, 0.3607080578804016, 0.3607080578804016, 0.3625943064689636, 0.3582414388656616, 0.36390018463134766, 0.3592571020126343, 0.37100985646247864, 0.3649158477783203, 0.36419036984443665, 0.3670922815799713, 0.36578643321990967, 0.3689785301685333, 0.37913522124290466, 0.37057459354400635, 0.3720255494117737, 0.37478235363960266, 0.37275102734565735, 0.3711549639701843, 0.369413822889328, 0.37710389494895935, 0.37013930082321167], 'val_loss': [2.4326677322387695, 2.423255443572998, 2.4056594371795654, 2.356031656265259, 2.332969903945923, 2.3194591999053955, 2.317767381668091, 2.3067996501922607, 2.307433843612671, 2.2990951538085938, 2.283548355102539, 2.2900469303131104, 2.2710776329040527, 2.2770919799804688, 2.283454418182373, 2.247924566268921, 2.223165273666382, 2.2345504760742188, 2.2625017166137695, 2.2137444019317627, 2.226125717163086, 2.1734328269958496, 2.1741843223571777, 2.1749727725982666, 2.141855478286743, 2.1643760204315186, 2.16226863861084, 2.1235218048095703, 2.0838356018066406, 2.132591485977173, 2.0782833099365234, 2.1236658096313477, 2.104227304458618, 2.107146978378296, 2.111407518386841, 2.0556554794311523, 2.071553945541382, 2.0310721397399902, 2.0988621711730957, 2.05031681060791, 2.2944252490997314, 2.1115877628326416, 2.081035614013672, 2.0352258682250977, 2.03757381439209, 1.9964061975479126, 1.996048092842102, 1.985288381576538, 2.157822608947754, 2.005267381668091, 1.9564239978790283, 1.9759732484817505, 1.954593300819397, 1.9702335596084595, 1.9868614673614502, 1.9192583560943604, 1.939713954925537, 1.9091193675994873, 1.925625205039978, 1.946312427520752, 1.9130620956420898, 1.9110726118087769, 1.9093095064163208, 1.9081510305404663, 1.9191080331802368, 1.900862455368042, 1.8976532220840454, 1.9090646505355835, 1.9099860191345215, 1.874837040901184, 1.8624954223632812, 1.8999797105789185, 1.8713477849960327, 1.8757668733596802, 1.8992891311645508, 1.868018627166748, 1.9086823463439941, 1.8827154636383057, 1.8560510873794556, 1.8633452653884888, 1.8470323085784912, 1.874720811843872, 1.8438047170639038, 1.8426036834716797, 1.841517448425293, 1.868882656097412, 1.8476051092147827, 1.8211123943328857, 1.8400917053222656, 1.821642279624939, 1.8300881385803223, 1.8336646556854248, 1.8241493701934814, 1.815906047821045, 1.8274153470993042, 1.8122180700302124, 1.8049914836883545, 1.8559300899505615, 1.7997928857803345, 1.8064826726913452, 1.8071459531784058, 1.8037596940994263, 1.8071143627166748, 1.7891243696212769, 1.7802408933639526, 1.80268132686615, 1.772567868232727, 1.7877470254898071, 1.7936798334121704, 1.7718679904937744, 1.7687013149261475, 1.7559202909469604, 1.7861303091049194, 1.7617071866989136, 1.7538012266159058, 1.7459673881530762, 1.7858760356903076, 1.7487733364105225, 1.7548737525939941, 1.751141905784607], 'val_accuracy': [0.17121300101280212, 0.2153221070766449, 0.21648287773132324, 0.23447474837303162, 0.243760883808136, 0.24434126913547516, 0.2455020248889923, 0.24608241021633148, 0.243760883808136, 0.25072547793388367, 0.25072547793388367, 0.25304701924324036, 0.25769007205963135, 0.25362738966941833, 0.255948930978775, 0.260591983795166, 0.2588508427143097, 0.2582704722881317, 0.25246661901474, 0.25536853075027466, 0.25710970163345337, 0.26871734857559204, 0.27045848965644836, 0.2692977488040924, 0.27278003096580505, 0.2756819427013397, 0.2803250253200531, 0.28322693705558777, 0.2872896194458008, 0.2745211720466614, 0.2884503901004791, 0.2785838544368744, 0.2785838544368744, 0.2780034840106964, 0.28380730748176575, 0.2896111309528351, 0.2872896194458008, 0.2936738133430481, 0.2896111309528351, 0.2843877077102661, 0.2501451075077057, 0.27278003096580505, 0.2843877077102661, 0.2959953546524048, 0.2919326722621918, 0.3000580370426178, 0.29657575488090515, 0.29889726638793945, 0.27278003096580505, 0.29657575488090515, 0.30586186051368713, 0.3041207194328308, 0.3081834018230438, 0.3070226311683655, 0.2994776666164398, 0.3157283663749695, 0.3145676255226135, 0.31630876660346985, 0.3145676255226135, 0.3087637722492218, 0.3105049431324005, 0.3134068548679352, 0.31398722529411316, 0.3145676255226135, 0.30760303139686584, 0.31804990768432617, 0.31630876660346985, 0.3145676255226135, 0.3197910487651825, 0.32675567269325256, 0.32501450181007385, 0.32037144899368286, 0.3157283663749695, 0.32269299030303955, 0.3168891370296478, 0.32327336072921753, 0.3157283663749695, 0.3168891370296478, 0.3221125900745392, 0.32733604311943054, 0.3308183252811432, 0.33372026681900024, 0.32733604311943054, 0.32907718420028687, 0.3412652313709259, 0.3174695372581482, 0.3255949020385742, 0.3302379548549652, 0.3435867726802826, 0.33197909593582153, 0.33546140789985657, 0.32907718420028687, 0.3325594961643219, 0.34242600202560425, 0.3459083139896393, 0.3435867726802826, 0.3406848609447479, 0.34184563159942627, 0.3412652313709259, 0.3522925078868866, 0.3482298254966736, 0.3476494550704956, 0.3435867726802826, 0.3482298254966736, 0.34648868441581726, 0.35287290811538696, 0.33836331963539124, 0.35287290811538696, 0.35113173723220825, 0.34010446071624756, 0.35345327854156494, 0.3459083139896393, 0.35113173723220825, 0.34939059615135193, 0.3453279137611389, 0.34881022572517395, 0.35113173723220825, 0.3563551902770996, 0.35345327854156494, 0.3546140491962433]}",saved_models/baseline_best_model.keras,,,
256,120,3,0.5,classification,13,"[32, 64, 128, 256, 512]",3,relu,[128],softmax,B2B_deep_bn,"{'loss': [2.4874536991119385, 2.466810703277588, 2.446880578994751, 2.4148690700531006, 2.371021270751953, 2.2988805770874023, 2.2374937534332275, 2.161756753921509, 2.135528802871704, 2.074270248413086, 2.0361337661743164, 1.9663265943527222, 1.9132797718048096, 1.88938570022583, 1.844870686531067, 1.819237470626831, 1.7834866046905518, 1.7742494344711304, 1.7521162033081055, 1.7168854475021362, 1.6723352670669556, 1.63299560546875, 1.6144157648086548, 1.5818984508514404, 1.5789849758148193, 1.5788986682891846, 1.5584675073623657, 1.5261554718017578, 1.5354763269424438, 1.4790830612182617, 1.4615788459777832, 1.4457546472549438, 1.4543269872665405, 1.4738578796386719, 1.4235297441482544, 1.402448296546936, 1.4146952629089355, 1.380169153213501, 1.3825956583023071, 1.3451138734817505, 1.3337655067443848, 1.3434600830078125, 1.3168071508407593, 1.2971857786178589, 1.2841050624847412, 1.2589950561523438, 1.256424069404602, 1.264484167098999, 1.2580244541168213, 1.2656738758087158, 1.2299110889434814, 1.2065107822418213, 1.1988458633422852, 1.224266767501831, 1.2201013565063477, 1.2100714445114136, 1.1822097301483154, 1.1747103929519653, 1.1682405471801758, 1.148316502571106, 1.138701319694519, 1.1301993131637573, 1.1077598333358765, 1.1187306642532349, 1.1224175691604614, 1.1125408411026, 1.11329984664917, 1.1073166131973267, 1.1035789251327515, 1.0859559774398804, 1.088687539100647, 1.0550177097320557, 1.0619784593582153, 1.0396391153335571, 1.0242727994918823, 1.025363802909851, 0.9950639009475708, 0.9757047295570374, 0.9615835547447205, 0.9582237601280212, 0.946793794631958, 0.9750536680221558, 0.9314489960670471, 0.9012805223464966, 0.9041233658790588, 0.9091089367866516, 0.9362115859985352, 0.9826595187187195, 0.9762886166572571, 0.8948192596435547, 0.8802481293678284, 0.875057578086853, 0.8896192908287048, 0.8906911611557007, 0.8967780470848083, 0.8821556568145752, 0.9117026329040527, 0.9107064008712769, 0.9261366724967957, 0.9826716184616089, 0.9537799954414368, 0.9007238745689392, 0.8778408169746399, 0.8845458626747131, 0.8844903707504272, 0.8671616315841675, 0.8517997860908508, 0.8854290843009949, 0.8134890198707581, 0.8000290393829346, 0.7649441361427307, 0.7415000796318054, 0.7463087439537048, 0.7477602362632751, 0.7245891690254211, 0.7063691020011902, 0.6924206614494324, 0.6902815699577332, 0.6887511014938354, 0.6639840602874756], 'accuracy': [0.15249565243721008, 0.1610562950372696, 0.18122461438179016, 0.20792223513126373, 0.22852583229541779, 0.24463145434856415, 0.2607370913028717, 0.27466627955436707, 0.2764074206352234, 0.2874346971511841, 0.2962855398654938, 0.30586186051368713, 0.3192106783390045, 0.3263203799724579, 0.33357515931129456, 0.3432965874671936, 0.3522925078868866, 0.34939059615135193, 0.35983750224113464, 0.367527574300766, 0.37521764636039734, 0.38972723484039307, 0.3917585611343384, 0.3994486331939697, 0.39698201417922974, 0.4049622714519501, 0.4064132273197174, 0.4146836996078491, 0.40989553928375244, 0.4329657554626465, 0.41860127449035645, 0.4373186230659485, 0.43775391578674316, 0.4287579655647278, 0.4438479542732239, 0.4496517777442932, 0.4474753439426422, 0.4542948305606842, 0.45487523078918457, 0.47069066762924194, 0.4776552617549896, 0.46894949674606323, 0.4786709249019623, 0.48403945565223694, 0.493180513381958, 0.493470698595047, 0.493180513381958, 0.49245500564575195, 0.5021764636039734, 0.4973882734775543, 0.5079802870750427, 0.5063841938972473, 0.5107370615005493, 0.5029019117355347, 0.5165409445762634, 0.5117527842521667, 0.5235055088996887, 0.5204585194587708, 0.5261172652244568, 0.5320661664009094, 0.5348230004310608, 0.5329367518424988, 0.5515090227127075, 0.5436738133430481, 0.5504932999610901, 0.5433836579322815, 0.5458502769470215, 0.5512188076972961, 0.5560069680213928, 0.5506384372711182, 0.5544109344482422, 0.5647127032279968, 0.5628264546394348, 0.5715321898460388, 0.5763203501701355, 0.5758850574493408, 0.5903946757316589, 0.5970690846443176, 0.6049042344093323, 0.6030179858207703, 0.6078061461448669, 0.5972141623497009, 0.607225775718689, 0.628990113735199, 0.627829372882843, 0.620864748954773, 0.6060649752616882, 0.5932965874671936, 0.5930063724517822, 0.6311665773391724, 0.6368253231048584, 0.6375507712364197, 0.628990113735199, 0.6257980465888977, 0.6337782740592957, 0.6397272348403931, 0.6285548210144043, 0.6244921684265137, 0.6173824667930603, 0.5885084271430969, 0.612884521484375, 0.6310214996337891, 0.6362448930740356, 0.6374056935310364, 0.6324724555015564, 0.6388566493988037, 0.643354594707489, 0.6369704008102417, 0.6606209874153137, 0.6732443571090698, 0.6884794235229492, 0.6976204514503479, 0.6913813352584839, 0.6877539157867432, 0.6977655291557312, 0.7109692692756653, 0.7204004526138306, 0.720110297203064, 0.7173534631729126, 0.7270748615264893], 'val_loss': [2.435776710510254, 2.4260311126708984, 2.400219440460205, 2.360146999359131, 2.2816734313964844, 2.2193896770477295, 2.091428518295288, 2.0389466285705566, 2.0382943153381348, 1.982132077217102, 1.9281227588653564, 1.8687397241592407, 1.86417818069458, 1.8168787956237793, 1.778826117515564, 1.7548835277557373, 1.7766187191009521, 1.728837013244629, 1.767290711402893, 1.6695469617843628, 1.650942087173462, 1.6220465898513794, 1.6165294647216797, 1.5760103464126587, 1.5652004480361938, 1.583715558052063, 1.5771567821502686, 1.529994010925293, 1.5633611679077148, 1.502705693244934, 1.5416133403778076, 1.5720638036727905, 1.503835916519165, 1.503011703491211, 1.4638680219650269, 1.4962005615234375, 1.4753649234771729, 1.4630550146102905, 1.5254087448120117, 1.463219165802002, 1.4492948055267334, 1.4625990390777588, 1.4052664041519165, 1.3909218311309814, 1.415713906288147, 1.393628478050232, 1.3819721937179565, 1.4260884523391724, 1.4464075565338135, 1.4090567827224731, 1.427527666091919, 1.385279893875122, 1.4215679168701172, 1.4734175205230713, 1.4520872831344604, 1.427734136581421, 1.3983681201934814, 1.4138402938842773, 1.43301260471344, 1.4296762943267822, 1.4369032382965088, 1.3757710456848145, 1.392667293548584, 1.4124141931533813, 1.4207937717437744, 1.4271551370620728, 1.4103337526321411, 1.4076615571975708, 1.3746415376663208, 1.4226429462432861, 1.4136756658554077, 1.4399864673614502, 1.4095196723937988, 1.4174964427947998, 1.466570496559143, 1.4465292692184448, 1.4153374433517456, 1.4604171514511108, 1.463052749633789, 1.4947813749313354, 1.5526853799819946, 1.4765936136245728, 1.497505784034729, 1.499542236328125, 1.5413429737091064, 1.5521752834320068, 1.6261481046676636, 1.5159027576446533, 1.5540039539337158, 1.5228694677352905, 1.5756161212921143, 1.5570366382598877, 1.6219066381454468, 1.5667383670806885, 1.5622788667678833, 1.5226532220840454, 1.547046422958374, 1.5192818641662598, 1.5832974910736084, 1.6672271490097046, 1.575133204460144, 1.5648081302642822, 1.5891165733337402, 1.5645867586135864, 1.5980358123779297, 1.79978346824646, 1.893706202507019, 1.763372778892517, 1.798923373222351, 1.8178704977035522, 1.779415488243103, 1.7747572660446167, 1.7714533805847168, 1.8719650506973267, 1.870872974395752, 1.853395938873291, 1.8006905317306519, 1.8756259679794312, 1.8888083696365356, 1.8629437685012817], 'val_accuracy': [0.17063261568546295, 0.18224027752876282, 0.22112594544887543, 0.23737667500972748, 0.25536853075027466, 0.2692977488040924, 0.2919326722621918, 0.2884503901004791, 0.29715612530708313, 0.3070226311683655, 0.31630876660346985, 0.3215322196483612, 0.32269299030303955, 0.3284968137741089, 0.34881022572517395, 0.34706905484199524, 0.35113173723220825, 0.35519441962242126, 0.3563551902770996, 0.36157864332199097, 0.35983750224113464, 0.37899014353752136, 0.37318629026412964, 0.3807312846183777, 0.38363319635391235, 0.37492746114730835, 0.3760882318019867, 0.38189205527305603, 0.3714451491832733, 0.3888566493988037, 0.38131165504455566, 0.38363319635391235, 0.39640161395072937, 0.39408010244369507, 0.4004642963409424, 0.3998839259147644, 0.41613465547561646, 0.4114915728569031, 0.3847939670085907, 0.4109112024307251, 0.4190365672111511, 0.4016250669956207, 0.43354612588882446, 0.4387695789337158, 0.42484039068222046, 0.4503772556781769, 0.43993034958839417, 0.43122461438179016, 0.43180498480796814, 0.44457343220710754, 0.4387695789337158, 0.4474753439426422, 0.4480557143688202, 0.4323853850364685, 0.4236796200275421, 0.4387695789337158, 0.4451538026332855, 0.44921648502349854, 0.44863611459732056, 0.44921648502349854, 0.4474753439426422, 0.45734184980392456, 0.4497968554496765, 0.44631457328796387, 0.4521183967590332, 0.4370284378528595, 0.4526987671852112, 0.4672083556652069, 0.4503772556781769, 0.4544399380683899, 0.4631456732749939, 0.45792222023010254, 0.4567614495754242, 0.4648868143558502, 0.4393499791622162, 0.44863611459732056, 0.4608241319656372, 0.45560070872306824, 0.4544399380683899, 0.4631456732749939, 0.4474753439426422, 0.46604758501052856, 0.44689494371414185, 0.4608241319656372, 0.4590829908847809, 0.4741729497909546, 0.44921648502349854, 0.4614045321941376, 0.4515380263328552, 0.45966339111328125, 0.46372607350349426, 0.46836912631988525, 0.45734184980392456, 0.46662798523902893, 0.4677887260913849, 0.47533372044563293, 0.4648868143558502, 0.47475335001945496, 0.44921648502349854, 0.4521183967590332, 0.44863611459732056, 0.4515380263328552, 0.45502030849456787, 0.47069066762924194, 0.4526987671852112, 0.4538595378398895, 0.4416714906692505, 0.43586766719818115, 0.45095762610435486, 0.4521183967590332, 0.44863611459732056, 0.4561810791492462, 0.4608241319656372, 0.42948347330093384, 0.4474753439426422, 0.4521183967590332, 0.4544399380683899, 0.4561810791492462, 0.45560070872306824, 0.45560070872306824]}",saved_models/B2B_deep_bn_best_model.keras,True,,
