batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,batch_norm,batch_norm_dense,normalize,aug_data,use_skip,name,history,best_model_path
512,60,3,0.5,classification,7,"[32, 64, 128, 256]",5,relu,"[256, 128]",softmax,True,True,True,True,True,A3B_relu_k5_improved_7_classes_dense_aug_batch_norm_skip,,
512,60,3,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,True,True,True,True,True,B2B_deep_bn_7_classes_dense_aug_batch_norm_skip,"{'loss': [2.089801549911499, 1.562660813331604, 1.293129801750183, 1.1087919473648071, 0.9924073815345764, 0.918857216835022, 0.8502004146575928, 0.7853341698646545, 0.7319730520248413, 0.6823302507400513, 0.6354799866676331, 0.5920251607894897, 0.5390242338180542, 0.48062601685523987, 0.4357664883136749, 0.38575223088264465, 0.3553210198879242, 0.31599289178848267, 0.27376556396484375, 0.24143943190574646, 0.214369535446167, 0.18557308614253998, 0.1575426161289215, 0.15376833081245422, 0.13081273436546326, 0.10515693575143814, 0.0970362052321434, 0.08644828200340271, 0.08695848286151886, 0.0764809250831604, 0.07238828390836716, 0.0601804256439209, 0.058904312551021576, 0.058808356523513794, 0.053546302020549774, 0.04967551305890083, 0.05672472342848778, 0.04374103620648384, 0.04705199599266052, 0.04368464648723602, 0.04372740536928177, 0.04303807392716408, 0.03986067324876785, 0.04248349368572235, 0.034827396273612976, 0.0423637330532074, 0.041175153106451035, 0.03572722151875496, 0.037494514137506485, 0.03585758060216904, 0.030595606192946434, 0.03092498891055584, 0.03223760426044464, 0.02943889982998371, 0.03333371505141258, 0.03068242408335209, 0.031776949763298035, 0.03347911685705185, 0.029495613649487495, 0.02550670877099037], 'accuracy': [0.2884020209312439, 0.41805315017700195, 0.49348682165145874, 0.5549590587615967, 0.5964886546134949, 0.6252337694168091, 0.652850329875946, 0.6779680252075195, 0.7012478113174438, 0.7211582064628601, 0.7410524487495422, 0.758641242980957, 0.7848390936851501, 0.8110046982765198, 0.8298832774162292, 0.8519862294197083, 0.8650448322296143, 0.8811181783676147, 0.8994647860527039, 0.9124749898910522, 0.9235022664070129, 0.9346746802330017, 0.9450731873512268, 0.9455890655517578, 0.9546817541122437, 0.9644031524658203, 0.9678693413734436, 0.971077561378479, 0.9709324836730957, 0.9745276570320129, 0.9761075377464294, 0.9799606800079346, 0.9808796048164368, 0.9805571436882019, 0.9831366539001465, 0.9839265942573547, 0.981669545173645, 0.9857805967330933, 0.9852647185325623, 0.9860063195228577, 0.9857322573661804, 0.9863771200180054, 0.9872315526008606, 0.9860546588897705, 0.9887953996658325, 0.9862803816795349, 0.9866350889205933, 0.9885051846504211, 0.9879248142242432, 0.9890049695968628, 0.9903108477592468, 0.9902786016464233, 0.9897465705871582, 0.990649402141571, 0.9891500473022461, 0.9900528788566589, 0.9895530939102173, 0.9892306923866272, 0.9905204176902771, 0.9920358657836914], 'val_loss': [2.2191622257232666, 2.1389360427856445, 2.2090206146240234, 2.877683639526367, 1.8518990278244019, 1.6003800630569458, 2.024052381515503, 1.4268276691436768, 1.7511006593704224, 1.122888445854187, 0.8064025044441223, 0.9614208340644836, 0.8537062406539917, 0.8778567910194397, 1.1470776796340942, 0.9023070931434631, 1.9385647773742676, 1.6960340738296509, 1.0824859142303467, 2.965747833251953, 1.1528667211532593, 0.9735739827156067, 1.0428425073623657, 0.9079505801200867, 1.277563214302063, 1.0370581150054932, 1.0141123533248901, 1.1618330478668213, 0.9679299592971802, 1.0606231689453125, 1.53444242477417, 0.9290973544120789, 0.9175086617469788, 0.9084132313728333, 2.1934139728546143, 1.6541372537612915, 1.011154294013977, 1.0531302690505981, 1.2769917249679565, 1.2684285640716553, 0.9405167698860168, 0.8728581666946411, 1.124616026878357, 0.9102703928947449, 0.898225724697113, 1.1418813467025757, 0.8664153218269348, 0.9786056280136108, 0.8395394682884216, 0.9633386731147766, 1.1233305931091309, 1.05405592918396, 1.1489726305007935, 1.2108101844787598, 1.1827595233917236, 0.940947413444519, 1.0850228071212769, 1.1464452743530273, 1.9528416395187378, 1.2826218605041504], 'val_accuracy': [0.1845737099647522, 0.1277569979429245, 0.22623500227928162, 0.23365148901939392, 0.4209338426589966, 0.4273829460144043, 0.4079066216945648, 0.49529215693473816, 0.44950342178344727, 0.5734554529190063, 0.6672900915145874, 0.6403327584266663, 0.6755449771881104, 0.684960663318634, 0.6162130832672119, 0.6862505078315735, 0.5276021957397461, 0.5483039021492004, 0.6803817749023438, 0.386817991733551, 0.6881207227706909, 0.7244292497634888, 0.7248162031173706, 0.7553850412368774, 0.7028892040252686, 0.7551270723342896, 0.7545466423034668, 0.7497742772102356, 0.7693796157836914, 0.7528053522109985, 0.696182131767273, 0.790081262588501, 0.7905327081680298, 0.7964013814926147, 0.6155036687850952, 0.6705791354179382, 0.7749258279800415, 0.7853733897209167, 0.7390687465667725, 0.7515155673027039, 0.8013027310371399, 0.8050432205200195, 0.7775699496269226, 0.8103314638137817, 0.8151038289070129, 0.7788597941398621, 0.8205211162567139, 0.8127176761627197, 0.823036253452301, 0.8046562671661377, 0.7781503796577454, 0.7921449542045593, 0.776086688041687, 0.7668644189834595, 0.787114679813385, 0.8127821683883667, 0.7830517292022705, 0.7762801647186279, 0.6761253476142883, 0.7633174061775208]}",saved_models_config_9/B2B_deep_bn_7_classes_dense_aug_batch_norm_skip_best_model.keras
512,60,3,0.5,classification,7,"[32, 64, 128, 256]",5,relu,"[256, 128]",softmax,False,False,True,True,True,A3B_relu_k5_improved_7_classes_dense_aug_skip,"{'loss': [1.8294806480407715, 1.7358137369155884, 1.6156322956085205, 1.44096040725708, 1.3194044828414917, 1.2467445135116577, 1.1660609245300293, 1.1014658212661743, 1.0671671628952026, 1.007905125617981, 0.9722687602043152, 0.9426091313362122, 0.8952192664146423, 0.8805211186408997, 0.8563952445983887, 0.8281337022781372, 0.8091467618942261, 0.777375340461731, 0.7618052959442139, 0.7521915435791016, 0.7301337122917175, 0.7228526473045349, 0.6965329051017761, 0.6874028444290161, 0.6740640997886658, 0.641744077205658, 0.6387659311294556, 0.6400673985481262, 0.609451949596405, 0.5826209187507629, 0.5851083397865295, 0.5790195465087891, 0.5871255993843079, 0.5815166234970093, 0.5770987272262573, 0.5526494383811951, 0.5251559615135193, 0.5082309246063232, 0.49506571888923645, 0.4768274128437042, 0.4663122594356537, 0.45253363251686096, 0.4754962623119354, 0.4582638442516327, 0.48373761773109436, 0.4814941883087158, 0.4771999418735504, 0.4640653431415558, 0.44048210978507996, 0.40123045444488525, 0.38872161507606506, 0.38209450244903564, 0.3887752890586853, 0.37475305795669556, 0.37035539746284485, 0.3702297806739807, 0.38177043199539185, 0.37551119923591614, 0.344623863697052, 0.2974914014339447], 'accuracy': [0.270668089389801, 0.3323821425437927, 0.37210613489151, 0.4325627088546753, 0.4748016893863678, 0.49909716844558716, 0.5310021042823792, 0.5523634552955627, 0.5688560009002686, 0.5918456315994263, 0.6054201126098633, 0.6147546172142029, 0.6334236264228821, 0.6389856338500977, 0.6508512496948242, 0.6605726480484009, 0.6686174273490906, 0.6815147995948792, 0.6873025298118591, 0.6912523508071899, 0.7009415030479431, 0.7052137851715088, 0.7139034271240234, 0.7195621132850647, 0.7241407036781311, 0.7380215525627136, 0.7391822934150696, 0.7405204176902771, 0.7524988651275635, 0.7647030353546143, 0.7626394629478455, 0.7680079936981201, 0.7618494629859924, 0.7656219601631165, 0.7676855325698853, 0.7765041589736938, 0.7883697748184204, 0.79523766040802, 0.8035403490066528, 0.8098278045654297, 0.8157928586006165, 0.8214999437332153, 0.8105210661888123, 0.8183401226997375, 0.8067646622657776, 0.808296263217926, 0.8101502656936646, 0.8160991668701172, 0.826288104057312, 0.8424260020256042, 0.8490198254585266, 0.8518894910812378, 0.8490036725997925, 0.8546785116195679, 0.8570162057876587, 0.8548881411552429, 0.8516798615455627, 0.8533404469490051, 0.8653994798660278, 0.885438859462738], 'val_loss': [1.763209342956543, 1.6651420593261719, 1.4799004793167114, 1.3744996786117554, 1.284366250038147, 1.1693590879440308, 1.1320792436599731, 1.23361074924469, 1.0285557508468628, 1.0601640939712524, 1.0085880756378174, 0.8996557593345642, 0.9293248057365417, 0.852790892124176, 0.8966905474662781, 0.8361121416091919, 0.8368613123893738, 0.8331591486930847, 0.8395478129386902, 0.816859781742096, 0.8333501815795898, 0.8068452477455139, 0.8026300668716431, 0.7879831194877625, 0.7967181205749512, 0.8155147433280945, 0.7454359531402588, 0.7487381100654602, 0.7011104226112366, 0.7838948965072632, 0.7749841809272766, 0.7878852486610413, 0.6794237494468689, 0.7141112089157104, 0.6571592092514038, 0.6608337163925171, 0.6585723161697388, 0.6551433205604553, 0.6340625882148743, 0.6863755583763123, 0.6922671794891357, 0.8031677603721619, 0.7004346251487732, 0.720578134059906, 0.6355524063110352, 0.7153952717781067, 0.7441665530204773, 0.7385764718055725, 0.7550500631332397, 0.6767979264259338, 0.7014535069465637, 0.7731454968452454, 0.6956872344017029, 0.811374843120575, 0.7317805886268616, 0.957554280757904, 0.8072234392166138, 0.8557423949241638, 0.7170854210853577, 0.677020251750946], 'val_accuracy': [0.31839287281036377, 0.3571520745754242, 0.41906359791755676, 0.45388880372047424, 0.487553209066391, 0.5308912396430969, 0.5381142497062683, 0.5130271911621094, 0.5819682478904724, 0.5643621683120728, 0.5873855352401733, 0.626983106136322, 0.6164710521697998, 0.6403972506523132, 0.6200825572013855, 0.6482651829719543, 0.6487166285514832, 0.6545208096504211, 0.6515542268753052, 0.6604540348052979, 0.6553592085838318, 0.665935754776001, 0.6654198169708252, 0.6727718114852905, 0.6713530421257019, 0.674126148223877, 0.6954727172851562, 0.6916677355766296, 0.7111440896987915, 0.6863794922828674, 0.6950212717056274, 0.6928285956382751, 0.7212691903114319, 0.7114665508270264, 0.7317812442779541, 0.7338449358940125, 0.7331355810165405, 0.7371340394020081, 0.7426802515983582, 0.7315877676010132, 0.7289436459541321, 0.7055978178977966, 0.7332000732421875, 0.7284922003746033, 0.7515800595283508, 0.7322971820831299, 0.7191410064697266, 0.7212691903114319, 0.726686418056488, 0.7442280650138855, 0.7414548993110657, 0.7313297986984253, 0.7406810522079468, 0.7088868618011475, 0.737263023853302, 0.679736852645874, 0.7143041491508484, 0.7122403979301453, 0.7520314455032349, 0.7676383256912231]}",saved_models_config_9/A3B_relu_k5_improved_7_classes_dense_aug_skip_best_model.keras
512,60,3,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,False,False,True,True,True,B2B_deep_bn_7_classes_dense_aug_skip,"{'loss': [1.838221549987793, 1.7559268474578857, 1.6891729831695557, 1.541967511177063, 1.4071447849273682, 1.3028944730758667, 1.2343517541885376, 1.1723448038101196, 1.1080594062805176, 1.0594964027404785, 1.0147759914398193, 0.9758845567703247, 0.9263985753059387, 0.8856226801872253, 0.8548003435134888, 0.8244240283966064, 0.7949699759483337, 0.7567357420921326, 0.7331095337867737, 0.7005305886268616, 0.6784433722496033, 0.6716970205307007, 0.6409689784049988, 0.6278261542320251, 0.6003645062446594, 0.5813824534416199, 0.5660141706466675, 0.552259087562561, 0.5392732620239258, 0.5640708804130554, 0.5357797145843506, 0.5124817490577698, 0.49384942650794983, 0.4704299569129944, 0.4655863046646118, 0.4428170323371887, 0.4476405382156372, 0.42863523960113525, 0.3971334993839264, 0.3913229703903198, 0.37405645847320557, 0.36003562808036804, 0.3384861648082733, 0.33106404542922974, 0.3240284025669098, 0.3162946403026581, 0.3162112832069397, 0.28810957074165344, 0.27039122581481934, 0.2542712390422821, 0.23539786040782928, 0.22030723094940186, 0.2187434285879135, 0.21452662348747253, 0.24835368990898132, 0.26178187131881714, 0.22043663263320923, 0.1829959899187088, 0.16814230382442474, 0.1490028351545334], 'accuracy': [0.2631392180919647, 0.32865801453590393, 0.3645772933959961, 0.41484490036964417, 0.45158636569976807, 0.48286259174346924, 0.5076900720596313, 0.5271167755126953, 0.5520087480545044, 0.5684852004051208, 0.5872992873191833, 0.6002450585365295, 0.6180757284164429, 0.6348745822906494, 0.6490455865859985, 0.6599116325378418, 0.6744695901870728, 0.6900432109832764, 0.6982975602149963, 0.714838445186615, 0.7215290069580078, 0.7240117192268372, 0.7380537986755371, 0.7466627955436707, 0.7569807171821594, 0.7650899887084961, 0.7717965841293335, 0.7760850191116333, 0.7840330004692078, 0.7740375399589539, 0.7858870029449463, 0.7981073260307312, 0.8048139810562134, 0.816615104675293, 0.8158090114593506, 0.8276746273040771, 0.8253691792488098, 0.8334139585494995, 0.8461662530899048, 0.8494067192077637, 0.8566292524337769, 0.863916277885437, 0.8730573058128357, 0.8746050000190735, 0.8783774971961975, 0.8810053467750549, 0.8800864219665527, 0.8931611776351929, 0.8998194336891174, 0.9070419669151306, 0.9146514534950256, 0.9216644167900085, 0.9210034012794495, 0.9231959581375122, 0.9109917879104614, 0.9043818712234497, 0.9208744168281555, 0.9348358511924744, 0.9415264129638672, 0.9482814073562622], 'val_loss': [1.7810918092727661, 1.6967612504959106, 1.647731900215149, 1.397952675819397, 1.2891463041305542, 1.2220405340194702, 1.186160683631897, 1.1218621730804443, 1.213531494140625, 1.1359573602676392, 0.9597334265708923, 0.9582858681678772, 1.0548745393753052, 0.9662349224090576, 0.9814866185188293, 0.9625657200813293, 0.8155876994132996, 0.7950246930122375, 0.8488555550575256, 0.8362679481506348, 0.8369881510734558, 0.7509464621543884, 0.8200505971908569, 0.8060924410820007, 0.7889093160629272, 0.7080877423286438, 0.6961378455162048, 0.6756700277328491, 0.7449057698249817, 0.7883807420730591, 0.8592684864997864, 0.8317716717720032, 0.8201292753219604, 0.6695413589477539, 0.7008283138275146, 0.7254771590232849, 0.9690316915512085, 0.9615968465805054, 0.89830482006073, 0.837977409362793, 0.8673112392425537, 0.842556357383728, 0.7855274081230164, 0.8121526837348938, 0.8343089818954468, 0.9099727869033813, 0.6750395894050598, 0.7355433702468872, 0.6995093822479248, 0.8262755274772644, 0.7565840482711792, 0.7889364957809448, 0.7777235507965088, 0.8978249430656433, 1.387296438217163, 0.8180880546569824, 0.8820024728775024, 0.9557887315750122, 1.084214448928833, 1.110756754875183], 'val_accuracy': [0.31529730558395386, 0.35895782709121704, 0.38056236505508423, 0.4486650228500366, 0.4830388128757477, 0.500064492225647, 0.5161228179931641, 0.541790246963501, 0.5173481106758118, 0.5460466742515564, 0.6007996797561646, 0.6047336459159851, 0.5555269122123718, 0.5948665142059326, 0.5871920585632324, 0.594028115272522, 0.66019606590271, 0.6664516925811768, 0.6446536779403687, 0.6522636413574219, 0.6573584675788879, 0.6888946294784546, 0.6690313220024109, 0.674126148223877, 0.6818650960922241, 0.7087578773498535, 0.712885320186615, 0.7243647575378418, 0.7046304941177368, 0.6872178316116333, 0.687862753868103, 0.696053147315979, 0.6994711756706238, 0.7382303476333618, 0.732039213180542, 0.7308783531188965, 0.6778666377067566, 0.6832193732261658, 0.6996646523475647, 0.7006965279579163, 0.7125628590583801, 0.7249451875686646, 0.737198531627655, 0.7384883165359497, 0.7373274564743042, 0.7309428453445435, 0.7683477401733398, 0.7613182067871094, 0.7624790668487549, 0.7346188426017761, 0.7585451006889343, 0.7550625801086426, 0.7560943961143494, 0.7300400137901306, 0.6729652881622314, 0.7579646706581116, 0.7640913128852844, 0.7546756267547607, 0.7522894144058228, 0.7555784583091736]}",saved_models_config_9/B2B_deep_bn_7_classes_dense_aug_skip_best_model.keras
