batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,batch_norm,batch_norm_dense,normalize,aug_data,use_skip,l2_reg,name,resize,loss,metrics,history,best_model_path
32,500,3,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,False,False,True,True,False,0,B2B_deep_bn_reg_aug_transfer_frozen,192,categorical_crossentropy,['accuracy'],<keras.src.callbacks.History object at 0x756db8031b10>,transfer_saved_models_config_3/B2B_deep_bn_reg_aug_transfer_frozen_best_model.keras
32,500,3,0.5,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,False,False,True,True,False,0,B2B_deep_bn_reg_aug_transfer_non_frozen,192,categorical_crossentropy,['accuracy'],<keras.src.callbacks.History object at 0x756e579ff5d0>,transfer_saved_models_config_3/B2B_deep_bn_reg_aug_transfer_non_frozen_best_model.keras
