batch_size,epochs,channels,dropout_rate,task,num_classes,conv_filters,kernel_size,activation,dense_units,output_activation,batch_norm,batch_norm_dense,normalize,aug_data,use_skip,l2_reg,name,resize,loss,metrics
256,500,3,0,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,False,True,True,True,False,0,B2B_deep_bn_reg_aug_transfer_frozen,192,categorical_crossentropy,['accuracy']
256,500,3,0,classification,7,"[32, 64, 128, 256, 512]",3,relu,"[512, 256, 128]",softmax,False,True,True,True,False,0,B2B_deep_bn_reg_aug_transfer_non_frozen,192,categorical_crossentropy,['accuracy']
